sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.2.6,2024-02-10,2025-02-13,100,20,Quarterly,4,12.381153887986397,7.5604560885257674
1.2.6,2024-02-10,2025-02-13,100,20,Semi-Annual,2,13.791824268441562,7.5604560885257674
1.2.6,2024-02-10,2025-02-13,100,20,Annual,1,16.529430135538544,7.5604560885257674
1.2.6,2024-02-10,2025-02-13,100,20,No,0,16.529430135538533,7.5604560885257674
1.2.6,2023-02-10,2025-02-13,100,20,Quarterly,8,47.21311168037307,36.643956124600805
1.2.6,2023-02-10,2025-02-13,100,20,Semi-Annual,4,67.44281865409579,36.643956124600805
1.2.6,2023-02-10,2025-02-13,100,20,Annual,2,73.09232081886255,36.643956124600805
1.2.6,2023-02-10,2025-02-13,100,20,No,0,75.84634069900036,36.643956124600805
1.2.6,2022-02-10,2025-02-13,100,20,Quarterly,12,57.17941063987114,40.793980141024306
1.2.6,2022-02-10,2025-02-13,100,20,Semi-Annual,6,73.67308870037364,40.793980141024306
1.2.6,2022-02-10,2025-02-13,100,20,Annual,3,87.98859449179827,40.793980141024306
1.2.6,2022-02-10,2025-02-13,100,20,No,0,87.85892464343286,40.793980141024306
1.2.6,2021-02-10,2025-02-13,100,20,Quarterly,16,94.90524546405472,62.74042284175159
1.2.6,2021-02-10,2025-02-13,100,20,Semi-Annual,8,124.09315740434495,62.74042284175159
1.2.6,2021-02-10,2025-02-13,100,20,Annual,4,150.19161754230475,62.74042284175159
1.2.6,2021-02-10,2025-02-13,100,20,No,0,133.6338617182618,62.74042284175159
1.2.6,2020-02-10,2025-02-13,100,20,Quarterly,20,98.58822692130957,111.08131122369274
1.2.6,2020-02-10,2025-02-13,100,20,Semi-Annual,10,145.89881187371213,111.08131122369274
1.2.6,2020-02-10,2025-02-13,100,20,Annual,5,202.06189306238835,111.08131122369274
1.2.6,2020-02-10,2025-02-13,100,20,No,0,204.04408852091527,111.08131122369274
1.2.6,2019-02-10,2025-02-13,100,20,Quarterly,24,119.01152386182194,119.08548325225851
1.2.6,2019-02-10,2025-02-13,100,20,Semi-Annual,12,186.98616763821448,119.08548325225851
1.2.6,2019-02-10,2025-02-13,100,20,Annual,6,253.91566718237937,119.08548325225851
1.2.6,2019-02-10,2025-02-13,100,20,No,0,253.27235715660612,119.08548325225851
1.2.6,2018-02-10,2025-02-13,100,20,Quarterly,28,86.59325871126866,125.3420344218581
1.2.6,2018-02-10,2025-02-13,100,20,Semi-Annual,14,141.59386147244498,125.3420344218581
1.2.6,2018-02-10,2025-02-13,100,20,Annual,7,205.54404599502857,125.3420344218581
1.2.6,2018-02-10,2025-02-13,100,20,No,0,195.5886349229299,125.3420344218581
1.2.6,2017-02-10,2025-02-13,100,20,Quarterly,32,138.46628280675583,166.28228547641487
1.2.6,2017-02-10,2025-02-13,100,20,Semi-Annual,16,212.7111717580071,166.28228547641487
1.2.6,2017-02-10,2025-02-13,100,20,Annual,8,296.57622119755996,166.28228547641487
1.2.6,2017-02-10,2025-02-13,100,20,No,0,285.81209793523135,166.28228547641487
1.2.6,2016-02-10,2025-02-13,100,20,Quarterly,36,229.41418143052186,238.40893424116652
1.2.6,2016-02-10,2025-02-13,100,20,Semi-Annual,18,309.6195766828833,238.40893424116652
1.2.6,2016-02-10,2025-02-13,100,20,Annual,9,435.6583767401516,238.40893424116652
1.2.6,2016-02-10,2025-02-13,100,20,No,0,477.7318161612094,238.40893424116652
1.2.6,2015-02-10,2025-02-13,100,20,Quarterly,40,221.9205728448551,167.33602226538054
1.2.6,2015-02-10,2025-02-13,100,20,Semi-Annual,20,315.45239441543464,167.33602226538054
1.2.6,2015-02-10,2025-02-13,100,20,Annual,10,413.2862063812978,167.33602226538054
1.2.6,2015-02-10,2025-02-13,100,20,No,0,370.64662277468904,167.33602226538054
