sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.2,2024-02-10,2025-02-13,400,50,Quarterly,4,14.937014798069551,7.5604560885257674
1.2,2024-02-10,2025-02-13,400,50,Semi-Annual,2,17.28858451880369,7.5604560885257674
1.2,2024-02-10,2025-02-13,400,50,Annual,1,18.792354659472608,7.5604560885257674
1.2,2024-02-10,2025-02-13,400,50,No,0,18.792354659472586,7.5604560885257674
1.2,2023-02-10,2025-02-13,400,50,Quarterly,8,47.91068773127247,36.643956124600805
1.2,2023-02-10,2025-02-13,400,50,Semi-Annual,4,71.81479980888032,36.643956124600805
1.2,2023-02-10,2025-02-13,400,50,Annual,2,77.02506364208216,36.643956124600805
1.2,2023-02-10,2025-02-13,400,50,No,0,80.06943328513621,36.643956124600805
1.2,2022-02-10,2025-02-13,400,50,Quarterly,12,57.363978466519846,40.793980141024306
1.2,2022-02-10,2025-02-13,400,50,Semi-Annual,6,77.31645830163154,40.793980141024306
1.2,2022-02-10,2025-02-13,400,50,Annual,3,89.86646375251371,40.793980141024306
1.2,2022-02-10,2025-02-13,400,50,No,0,89.82660014812751,40.793980141024306
1.2,2021-02-10,2025-02-13,400,50,Quarterly,16,91.42879502431302,62.74042284175159
1.2,2021-02-10,2025-02-13,400,50,Semi-Annual,8,128.02992202725767,62.74042284175159
1.2,2021-02-10,2025-02-13,400,50,Annual,4,148.87938172125973,62.74042284175159
1.2,2021-02-10,2025-02-13,400,50,No,0,127.3460029914135,62.74042284175159
1.2,2020-02-10,2025-02-13,400,50,Quarterly,20,94.50090836350302,111.08131122369274
1.2,2020-02-10,2025-02-13,400,50,Semi-Annual,10,150.88044141389838,111.08131122369274
1.2,2020-02-10,2025-02-13,400,50,Annual,5,195.53769095996137,111.08131122369274
1.2,2020-02-10,2025-02-13,400,50,No,0,198.32858794934353,111.08131122369274
1.2,2019-02-10,2025-02-13,400,50,Quarterly,24,114.76279611943319,119.08548325225851
1.2,2019-02-10,2025-02-13,400,50,Semi-Annual,12,188.30885324898836,119.08548325225851
1.2,2019-02-10,2025-02-13,400,50,Annual,6,237.52191964197587,119.08548325225851
1.2,2019-02-10,2025-02-13,400,50,No,0,226.98709244727317,119.08548325225851
1.2,2018-02-10,2025-02-13,400,50,Quarterly,28,87.29550378002992,125.3420344218581
1.2,2018-02-10,2025-02-13,400,50,Semi-Annual,14,152.08070335816976,125.3420344218581
1.2,2018-02-10,2025-02-13,400,50,Annual,7,204.66847689015646,125.3420344218581
1.2,2018-02-10,2025-02-13,400,50,No,0,199.94455284858296,125.3420344218581
1.2,2017-02-10,2025-02-13,400,50,Quarterly,32,135.16973850894874,166.28228547641487
1.2,2017-02-10,2025-02-13,400,50,Semi-Annual,16,221.55824657655612,166.28228547641487
1.2,2017-02-10,2025-02-13,400,50,Annual,8,289.7585001807381,166.28228547641487
1.2,2017-02-10,2025-02-13,400,50,No,0,277.08025732032615,166.28228547641487
1.2,2016-02-10,2025-02-13,400,50,Quarterly,36,218.70221770340086,238.40893424116652
1.2,2016-02-10,2025-02-13,400,50,Semi-Annual,18,316.0284283840009,238.40893424116652
1.2,2016-02-10,2025-02-13,400,50,Annual,9,418.5623093591404,238.40893424116652
1.2,2016-02-10,2025-02-13,400,50,No,0,426.1170521269529,238.40893424116652
1.2,2015-02-10,2025-02-13,400,50,Quarterly,40,217.06258706363255,167.33602226538054
1.2,2015-02-10,2025-02-13,400,50,Semi-Annual,20,298.37137717215165,167.33602226538054
1.2,2015-02-10,2025-02-13,400,50,Annual,10,418.5623093591404,167.33602226538054
1.2,2015-02-10,2025-02-13,400,50,No,0,0.0,167.33602226538054
