sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
2.5,2024-02-10,2025-02-13,400,200,18 months,0,18.847701837875707,7.5604560885257674
2.5,2024-02-10,2025-02-13,400,200,24 months,0,18.847701837875707,7.5604560885257674
2.5,2024-02-10,2025-02-13,400,200,36 months,0,18.847701837875707,7.5604560885257674
2.5,2023-02-10,2025-02-13,400,200,18 months,1,70.02286033554495,36.643956124600805
2.5,2023-02-10,2025-02-13,400,200,24 months,1,72.16382477710117,36.643956124600805
2.5,2023-02-10,2025-02-13,400,200,36 months,0,72.16382477710117,36.643956124600805
2.5,2022-02-10,2025-02-13,400,200,18 months,2,81.08550198621079,40.793980141024306
2.5,2022-02-10,2025-02-13,400,200,24 months,1,80.31302557097335,40.793980141024306
2.5,2022-02-10,2025-02-13,400,200,36 months,1,82.65001001689777,40.793980141024306
2.5,2021-02-10,2025-02-13,400,200,18 months,2,108.88506328140241,62.74042284175159
2.5,2021-02-10,2025-02-13,400,200,24 months,2,123.02517046495964,62.74042284175159
2.5,2021-02-10,2025-02-13,400,200,36 months,1,114.80893233358816,62.74042284175159
2.5,2020-02-10,2025-02-13,400,200,18 months,3,179.30082790455856,111.08131122369274
2.5,2020-02-10,2025-02-13,400,200,24 months,2,203.77863717659216,111.08131122369274
2.5,2020-02-10,2025-02-13,400,200,36 months,1,196.8532844552307,111.08131122369274
2.5,2019-02-10,2025-02-13,400,200,18 months,4,209.25799868644498,119.08548325225851
2.5,2019-02-10,2025-02-13,400,200,24 months,3,190.40430358705785,119.08548325225851
2.5,2019-02-10,2025-02-13,400,200,36 months,2,229.8746685155972,119.08548325225851
2.5,2018-02-10,2025-02-13,400,200,18 months,4,156.38141165553733,125.3420344218581
2.5,2018-02-10,2025-02-13,400,200,24 months,3,223.63349482225732,125.3420344218581
2.5,2018-02-10,2025-02-13,400,200,36 months,2,159.68800070356778,125.3420344218581
2.5,2017-02-10,2025-02-13,400,200,18 months,5,250.00869882250095,166.28228547641487
2.5,2017-02-10,2025-02-13,400,200,24 months,4,233.45675122512125,166.28228547641487
2.5,2017-02-10,2025-02-13,400,200,36 months,2,284.67177070792263,166.28228547641487
2.5,2016-02-10,2025-02-13,400,200,18 months,6,384.267551432904,238.40893424116652
2.5,2016-02-10,2025-02-13,400,200,24 months,4,456.87354531631195,238.40893424116652
2.5,2016-02-10,2025-02-13,400,200,36 months,3,415.3761044588483,238.40893424116652
2.5,2015-02-10,2025-02-13,400,200,18 months,6,236.0863620934631,167.33602226538054
2.5,2015-02-10,2025-02-13,400,200,24 months,5,233.45675122512125,167.33602226538054
2.5,2015-02-10,2025-02-13,400,200,36 months,3,159.68800070356778,167.33602226538054
