sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.4,2024-02-10,2025-02-13,400,10,Quarterly,4,13.071486979298744,7.5604560885257674
1.4,2024-02-10,2025-02-13,400,10,Semi-Annual,2,16.258502670635153,7.5604560885257674
1.4,2024-02-10,2025-02-13,400,10,Annual,1,13.913970375178177,7.5604560885257674
1.4,2024-02-10,2025-02-13,400,10,No,0,13.913970375178192,7.5604560885257674
1.4,2023-02-10,2025-02-13,400,10,Quarterly,8,42.81898255010892,36.643956124600805
1.4,2023-02-10,2025-02-13,400,10,Semi-Annual,4,66.79522843204764,36.643956124600805
1.4,2023-02-10,2025-02-13,400,10,Annual,2,70.51416242722904,36.643956124600805
1.4,2023-02-10,2025-02-13,400,10,No,0,78.4683939817738,36.643956124600805
1.4,2022-02-10,2025-02-13,400,10,Quarterly,12,55.617919387105054,40.793980141024306
1.4,2022-02-10,2025-02-13,400,10,Semi-Annual,6,75.80762027338295,40.793980141024306
1.4,2022-02-10,2025-02-13,400,10,Annual,3,89.34955951713539,40.793980141024306
1.4,2022-02-10,2025-02-13,400,10,No,0,92.93567283954626,40.793980141024306
1.4,2021-02-10,2025-02-13,400,10,Quarterly,16,91.84421819131529,62.74042284175159
1.4,2021-02-10,2025-02-13,400,10,Semi-Annual,8,124.52832590324378,62.74042284175159
1.4,2021-02-10,2025-02-13,400,10,Annual,4,147.95680284599288,62.74042284175159
1.4,2021-02-10,2025-02-13,400,10,No,0,129.11827424046245,62.74042284175159
1.4,2020-02-10,2025-02-13,400,10,Quarterly,20,88.82908387559347,111.08131122369274
1.4,2020-02-10,2025-02-13,400,10,Semi-Annual,10,136.51580126692528,111.08131122369274
1.4,2020-02-10,2025-02-13,400,10,Annual,5,194.09401569483416,111.08131122369274
1.4,2020-02-10,2025-02-13,400,10,No,0,209.58088756266437,111.08131122369274
1.4,2019-02-10,2025-02-13,400,10,Quarterly,24,112.75939900538982,119.08548325225851
1.4,2019-02-10,2025-02-13,400,10,Semi-Annual,12,178.75339149377518,119.08548325225851
1.4,2019-02-10,2025-02-13,400,10,Annual,6,240.52258755214092,119.08548325225851
1.4,2019-02-10,2025-02-13,400,10,No,0,272.306585204002,119.08548325225851
1.4,2018-02-10,2025-02-13,400,10,Quarterly,28,77.2693555784291,125.3420344218581
1.4,2018-02-10,2025-02-13,400,10,Semi-Annual,14,126.05673626233443,125.3420344218581
1.4,2018-02-10,2025-02-13,400,10,Annual,7,188.2995712622646,125.3420344218581
1.4,2018-02-10,2025-02-13,400,10,No,0,227.81355283544363,125.3420344218581
1.4,2017-02-10,2025-02-13,400,10,Quarterly,32,128.3060992397945,166.28228547641487
1.4,2017-02-10,2025-02-13,400,10,Semi-Annual,16,199.14715111286105,166.28228547641487
1.4,2017-02-10,2025-02-13,400,10,Annual,8,288.0218883085189,166.28228547641487
1.4,2017-02-10,2025-02-13,400,10,No,0,331.78022526670617,166.28228547641487
1.4,2016-02-10,2025-02-13,400,10,Quarterly,36,219.41670965959338,238.40893424116652
1.4,2016-02-10,2025-02-13,400,10,Semi-Annual,18,298.152810774192,238.40893424116652
1.4,2016-02-10,2025-02-13,400,10,Annual,9,428.0817485253082,238.40893424116652
1.4,2016-02-10,2025-02-13,400,10,No,0,500.87284197895633,238.40893424116652
1.4,2015-02-10,2025-02-13,400,10,Quarterly,40,223.19777918738285,167.33602226538054
1.4,2015-02-10,2025-02-13,400,10,Semi-Annual,20,287.1595671967736,167.33602226538054
1.4,2015-02-10,2025-02-13,400,10,Annual,10,428.0817485253082,167.33602226538054
1.4,2015-02-10,2025-02-13,400,10,No,0,0.0,167.33602226538054
