sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.1,2024-02-10,2025-02-13,400,20,Quarterly,4,14.357166764707015,7.5604560885257674
1.1,2024-02-10,2025-02-13,400,20,Semi-Annual,2,16.731038296306018,7.5604560885257674
1.1,2024-02-10,2025-02-13,400,20,Annual,1,17.896318757459266,7.5604560885257674
1.1,2024-02-10,2025-02-13,400,20,No,0,17.896318757459266,7.5604560885257674
1.1,2023-02-10,2025-02-13,400,20,Quarterly,8,47.10040518425192,36.643956124600805
1.1,2023-02-10,2025-02-13,400,20,Semi-Annual,4,68.19208170512952,36.643956124600805
1.1,2023-02-10,2025-02-13,400,20,Annual,2,75.122691374987,36.643956124600805
1.1,2023-02-10,2025-02-13,400,20,No,0,75.84634069900036,36.643956124600805
1.1,2022-02-10,2025-02-13,400,20,Quarterly,12,58.57807473688227,40.793980141024306
1.1,2022-02-10,2025-02-13,400,20,Semi-Annual,6,75.18608007799703,40.793980141024306
1.1,2022-02-10,2025-02-13,400,20,Annual,3,91.82504412220653,40.793980141024306
1.1,2022-02-10,2025-02-13,400,20,No,0,91.76446378900631,40.793980141024306
1.1,2021-02-10,2025-02-13,400,20,Quarterly,16,99.99957521668044,62.74042284175159
1.1,2021-02-10,2025-02-13,400,20,Semi-Annual,8,132.48763274018734,62.74042284175159
1.1,2021-02-10,2025-02-13,400,20,Annual,4,160.618035101806,62.74042284175159
1.1,2021-02-10,2025-02-13,400,20,No,0,139.36079431036606,62.74042284175159
1.1,2020-02-10,2025-02-13,400,20,Quarterly,20,101.95003949983817,111.08131122369274
1.1,2020-02-10,2025-02-13,400,20,Semi-Annual,10,153.16254797907249,111.08131122369274
1.1,2020-02-10,2025-02-13,400,20,Annual,5,211.1444915503728,111.08131122369274
1.1,2020-02-10,2025-02-13,400,20,No,0,206.77323485348637,111.08131122369274
1.1,2019-02-10,2025-02-13,400,20,Quarterly,24,125.87199866246974,119.08548325225851
1.1,2019-02-10,2025-02-13,400,20,Semi-Annual,12,197.3474920694958,119.08548325225851
1.1,2019-02-10,2025-02-13,400,20,Annual,6,262.6584360489325,119.08548325225851
1.1,2019-02-10,2025-02-13,400,20,No,0,238.38930292920477,119.08548325225851
1.1,2018-02-10,2025-02-13,400,20,Quarterly,28,92.43824041262921,125.3420344218581
1.1,2018-02-10,2025-02-13,400,20,Semi-Annual,14,150.31634590409092,125.3420344218581
1.1,2018-02-10,2025-02-13,400,20,Annual,7,213.09189205099156,125.3420344218581
1.1,2018-02-10,2025-02-13,400,20,No,0,195.5886349229299,125.3420344218581
1.1,2017-02-10,2025-02-13,400,20,Quarterly,32,146.26835453886972,166.28228547641487
1.1,2017-02-10,2025-02-13,400,20,Semi-Annual,16,224.72280993442558,166.28228547641487
1.1,2017-02-10,2025-02-13,400,20,Annual,8,307.1675176229126,166.28228547641487
1.1,2017-02-10,2025-02-13,400,20,No,0,291.27670049612584,166.28228547641487
1.1,2016-02-10,2025-02-13,400,20,Quarterly,36,240.56726733564403,238.40893424116652
1.1,2016-02-10,2025-02-13,400,20,Semi-Annual,18,324.828074549028,238.40893424116652
1.1,2016-02-10,2025-02-13,400,20,Annual,9,449.96411759785167,238.40893424116652
1.1,2016-02-10,2025-02-13,400,20,No,0,477.7318161612094,238.40893424116652
1.1,2015-02-10,2025-02-13,400,20,Quarterly,40,240.81126110945115,167.33602226538054
1.1,2015-02-10,2025-02-13,400,20,Semi-Annual,20,308.3007336848893,167.33602226538054
1.1,2015-02-10,2025-02-13,400,20,Annual,10,449.96411759785167,167.33602226538054
1.1,2015-02-10,2025-02-13,400,20,No,0,0.0,167.33602226538054
