sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.2.3,2024-02-10,2025-02-13,700,20,Quarterly,4,14.10564236141106,7.5604560885257674
1.2.3,2024-02-10,2025-02-13,700,20,Semi-Annual,2,15.84490176762133,7.5604560885257674
1.2.3,2024-02-10,2025-02-13,700,20,Annual,1,16.189161305651123,7.5604560885257674
1.2.3,2024-02-10,2025-02-13,700,20,No,0,16.18916130565112,7.5604560885257674
1.2.3,2023-02-10,2025-02-13,700,20,Quarterly,8,46.302441402758085,36.643956124600805
1.2.3,2023-02-10,2025-02-13,700,20,Semi-Annual,4,67.11400266578434,36.643956124600805
1.2.3,2023-02-10,2025-02-13,700,20,Annual,2,71.4435090556046,36.643956124600805
1.2.3,2023-02-10,2025-02-13,700,20,No,0,76.03754823798306,36.643956124600805
1.2.3,2022-02-10,2025-02-13,700,20,Quarterly,12,56.596746654142336,40.793980141024306
1.2.3,2022-02-10,2025-02-13,700,20,Semi-Annual,6,72.85250757625602,40.793980141024306
1.2.3,2022-02-10,2025-02-13,700,20,Annual,3,85.28457957138154,40.793980141024306
1.2.3,2022-02-10,2025-02-13,700,20,No,0,90.65764053909504,40.793980141024306
1.2.3,2021-02-10,2025-02-13,700,20,Quarterly,16,96.8785093817396,62.74042284175159
1.2.3,2021-02-10,2025-02-13,700,20,Semi-Annual,8,134.12809327305067,62.74042284175159
1.2.3,2021-02-10,2025-02-13,700,20,Annual,4,156.25016084722915,62.74042284175159
1.2.3,2021-02-10,2025-02-13,700,20,No,0,150.84509855788406,62.74042284175159
1.2.3,2020-02-10,2025-02-13,700,20,Quarterly,20,99.06164853098994,111.08131122369274
1.2.3,2020-02-10,2025-02-13,700,20,Semi-Annual,10,156.30015004598312,111.08131122369274
1.2.3,2020-02-10,2025-02-13,700,20,Annual,5,207.12765320688038,111.08131122369274
1.2.3,2020-02-10,2025-02-13,700,20,No,0,207.81137432768656,111.08131122369274
1.2.3,2019-02-10,2025-02-13,700,20,Quarterly,24,122.64146381004683,119.08548325225851
1.2.3,2019-02-10,2025-02-13,700,20,Semi-Annual,12,201.03270583099211,119.08548325225851
1.2.3,2019-02-10,2025-02-13,700,20,Annual,6,257.9765588148097,119.08548325225851
1.2.3,2019-02-10,2025-02-13,700,20,No,0,238.38930292920477,119.08548325225851
1.2.3,2018-02-10,2025-02-13,700,20,Quarterly,28,89.68589197513683,125.3420344218581
1.2.3,2018-02-10,2025-02-13,700,20,Semi-Annual,14,153.4186732055018,125.3420344218581
1.2.3,2018-02-10,2025-02-13,700,20,Annual,7,209.04991299887823,125.3420344218581
1.2.3,2018-02-10,2025-02-13,700,20,No,0,195.5886349229299,125.3420344218581
1.2.3,2017-02-10,2025-02-13,700,20,Quarterly,32,142.13582812358854,166.28228547641487
1.2.3,2017-02-10,2025-02-13,700,20,Semi-Annual,16,230.19094162580137,166.28228547641487
1.2.3,2017-02-10,2025-02-13,700,20,Annual,8,301.911033444572,166.28228547641487
1.2.3,2017-02-10,2025-02-13,700,20,No,0,291.27670049612584,166.28228547641487
1.2.3,2016-02-10,2025-02-13,700,20,Quarterly,36,234.8523502441648,238.40893424116652
1.2.3,2016-02-10,2025-02-13,700,20,Semi-Annual,18,331.98191710876927,238.40893424116652
1.2.3,2016-02-10,2025-02-13,700,20,Annual,9,442.8641463140779,238.40893424116652
1.2.3,2016-02-10,2025-02-13,700,20,No,0,477.7318161612094,238.40893424116652
1.2.3,2015-02-10,2025-02-13,700,20,Quarterly,40,234.8523502441648,167.33602226538054
1.2.3,2015-02-10,2025-02-13,700,20,Semi-Annual,20,331.98191710876927,167.33602226538054
1.2.3,2015-02-10,2025-02-13,700,20,Annual,10,442.8641463140779,167.33602226538054
1.2.3,2015-02-10,2025-02-13,700,20,No,0,0.0,167.33602226538054
