Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
SBI Small Cap Fund - Direct Plan - Growth,324.88405765146007,103.57871945561396,27.69269971444579,12.763891403371197,14.928808311074594,2160.0,2.960621226423499,4.681479067072295,7.399329326632788,-12.617354303809897,57.6770649508634,61.8437702972071,97.92011886991413
Mirae Asset Large & Midcap Fund - Direct Plan - Growth,307.03880280757517,103.57871945561396,26.770196271201474,12.763891403371197,14.006304867830277,2160.0,8.343761566526243,6.993542547821686,15.923963263997578,10.422317627404839,65.83753743221733,87.51448965895919,115.97568688075329
ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth,274.72472472472475,103.57871945561396,25.01057786446119,12.763891403371197,12.246686461089993,2160.0,10.070567480152908,2.0166235181904946,15.55795647476462,16.420463380500703,71.13142857142859,109.6611593391207,96.61239495798321
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,261.3636363636363,103.57871945561396,24.24596095210083,12.763891403371197,11.482069548729633,2160.0,10.709549071618039,5.0991501416430625,16.058394160583944,14.584763212079615,71.31862493586456,99.58158995815899,100.05991611743559
Tata Banking And Financial Services Fund-Direct Plan-Growth,129.23067744533603,55.73196412938031,23.02872865658363,11.702147192812173,11.326581463771458,1461.0,9.417493699363536,8.564203269146546,27.653035798333285,29.700580610315956,91.24076086505677,129.23067744533603,
Invesco India Financial Services Fund - Direct Plan - Growth,255.82914572864323,103.57871945561396,23.922340810400012,12.763891403371197,11.158449407028815,2160.0,10.900548159749414,7.613981762917941,22.976728030566175,24.709404719971822,84.2091571279917,106.98626132709734,106.56359393232205
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,250.41485879576766,103.57871945561396,23.6016760639564,12.763891403371197,10.837784660585204,2160.0,3.4513238980833125,-1.6757363533451821,-1.6014763127332028,-17.04339990989639,36.827678223478664,46.06703544268987,69.51963993453354
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,250.41485879576766,103.57871945561396,23.6016760639564,12.763891403371197,10.837784660585204,2160.0,3.4513238980833125,-1.6757363533451821,-1.6014763127332028,-17.04339990989639,36.827678223478664,46.06703544268987,69.51963993453354
Kotak Emerging Equity Scheme - Growth - Direct,249.72481454893511,103.57871945561396,23.56051244648554,12.763891403371197,10.796621043114342,2160.0,6.523323615160356,4.229068606475529,10.235329612309544,-1.5758636945248798,42.696738918180046,59.825757299602664,75.78078017880767
Axis Small Cap Fund - Direct Plan - Growth,249.03553299492387,103.57871945561396,23.51932688750953,12.763891403371197,10.755435484138332,2160.0,6.307977736549161,10.369181380417348,20.84358523725836,11.26213592233011,55.56561085972851,63.55851569933398,81.42480211081796
