Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
BANK OF INDIA Small Cap Fund Direct Plan Growth,186.3545816733068,66.55319668808343,41.95883206459578,18.51780745968423,23.44102460491155,1096.0,8.327053504144692,21.718882303132933,73.71601208459214,169.44704779756324,186.3545816733068,,
Edelweiss Small Cap Fund - Direct Plan - Growth,158.25588293454615,55.18072787855582,39.64717104540103,16.726774129331055,22.920396916069976,1037.0,7.379239465570409,20.141667816567782,70.21831215379602,133.08941638407998,,,
Mirae Asset Healthcare Fund Direct Growth,150.22633339893721,50.082065652522026,30.73936300686193,12.597625627623144,18.141737379238783,1249.0,1.8342010412495071,8.107648484333149,28.580097087378647,127.31986411585912,145.79990333494442,,
DSP Healthcare Fund - Direct Plan - Growth,146.76798578900622,66.55319668808343,35.096354347061556,18.51780745968423,16.578546887377325,1096.0,2.315970375219931,10.377858214884785,25.112578805163604,125.18912103746398,146.76798578900622,,
SBI Small Cap Fund - Direct Plan - Growth,756.3454089769878,209.23187957521395,31.14464511886681,15.318848123430563,15.825796995436246,2891.0,5.760607512943961,15.387776849060558,49.10941443263082,101.54802082017945,116.46122263197493,76.11799294098086,217.79500369581402
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,703.2588194497306,209.23187957521395,30.08928548945462,15.318848123430563,14.770437366024058,2891.0,7.869187241746675,22.04335757793827,75.86537660293506,129.2308100775755,125.5597329526967,90.16208639935925,213.65119520201853
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,703.2588194497306,209.23187957521395,30.08928548945462,15.318848123430563,14.770437366024058,2891.0,7.869187241746675,22.04335757793827,75.86537660293506,129.2308100775755,125.5597329526967,90.16208639935925,213.65119520201853
Tata Small Cap Fund-Direct Plan-Growth,132.95938950108805,63.53544165757907,31.507511309139204,17.268724050321403,14.238787258817801,1127.0,6.555164185887964,17.77696284053633,73.58674969088042,117.55082724767323,127.63046749842226,,
Tata Digital India Fund-Direct Plan-Growth,351.4920971337738,136.5536442435858,28.53127255198695,15.415661321936525,13.115611230050426,2192.0,10.603229337846152,34.8181981013792,77.2808102219867,179.0358855222184,205.20233557700104,287.55170342401095,372.07367298726825
Invesco India Smallcap Fund - Direct Plan - Growth,126.60098522167486,63.53544165757907,30.334133046447565,17.268724050321403,13.065408996126163,1127.0,6.1865189289012,18.43460350154479,64.99282639885223,109.28116469517744,120.94140249759846,,
Mirae Asset Large & Midcap Fund - Direct Plan - Growth,607.3500198649185,209.23187957521395,28.017589518657736,15.318848123430563,12.698741395227174,2891.0,0.8791893704021959,12.505529225908369,40.565292910153175,73.77950578321486,101.45209044449052,91.89135784727587,188.19165295276125
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,604.4159978023027,209.23187957521395,27.950426262775196,15.318848123430563,12.631578139344633,2891.0,3.7920745206945203,14.731001907918959,63.26540357831969,144.3432732244399,154.61660091849566,145.32383676975408,234.2407236074962
Axis Small Cap Fund - Direct Plan - Growth,598.7817258883249,209.23187957521395,27.82076279776955,15.318848123430563,12.501914674338988,2891.0,6.945307644499687,20.353208602902605,60.705113238384314,100.20360674810935,141.93321616871702,122.75080906148868,211.44796380090494
Axis Growth Opportunities Fund - Direct Plan - Growth,125.1497005988024,64.62787417047696,29.17977176741291,17.03089992739639,12.148871840016518,1157.0,3.819604233778179,15.989717223650382,46.68400520156045,85.83196046128498,120.74363992172208,,
Kotak-Small Cap Fund - Growth - Direct,582.6490979708882,209.23187957521395,27.44437833330535,15.318848123430563,12.125530209874789,2891.0,5.174766511940041,20.26026346080061,73.47224912601118,136.16214383484234,151.54218607886148,110.54970891177788,207.8256457262579
DSP Small Cap Fund - Direct Plan - Growth,577.8410372040587,209.23187957521395,27.330699908675072,15.318848123430563,12.01185178524451,2891.0,6.966917814921225,20.23216749655048,60.29994001199759,115.30321748939141,118.80163033589287,63.84706571650472,134.9163866531218
Kotak Emerging Equity Scheme - Growth - Direct,544.1094360692349,209.23187957521395,26.512752672103336,15.318848123430563,11.193904548672773,2891.0,3.078886903242267,12.433516192809991,49.16782118777131,84.1760748089862,103.02710313269974,81.2737109120704,162.813252619931
quant Flexi Cap Fund - Growth Option-Direct Plan,526.296624950277,209.23187957521395,26.065596933253097,15.318848123430563,10.746748809822535,2891.0,0.34891037007379144,10.829142916962974,58.27404887101765,136.00221381791349,131.59959265266096,109.57497278091972,207.52742024340165
Axis Midcap Fund - Direct Plan - Growth,490.33962264150944,209.23187957521395,25.12803363004885,15.318848123430563,9.809185506618288,2891.0,2.1548909494580197,15.830001480823332,41.77995287293819,81.14867994441872,104.33646812957156,113.77425526100025,206.98587127158552
ICICI Prudential Technology Fund - Direct Plan -  Growth,479.1331269349845,209.23187957521395,24.825622987179806,15.318848123430563,9.506774863749243,2891.0,10.889797854051814,34.91525423728813,77.7629953435332,205.2047642356013,214.9158249158249,278.8940652217946,357.1358748778103
,,,,,,,,,,,,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,181.2749003984064,65.72299627381621,39.78464136706623,17.77448391880374,22.01015744826249,1127.0,6.525839305922282,11.841584158415836,70.32569360675514,138.51351351351352,184.67741935483872,,
Edelweiss Small Cap Fund - Direct Plan - Growth,154.86454419616373,54.40721462793754,37.676694335895334,16.005636593867955,21.67105774202738,1068.0,5.220834353824801,11.86477455192467,65.1419053110385,111.73813044192545,,,
SBI Small Cap Fund - Direct Plan - Growth,746.238029090321,207.6904835550057,30.57415169332689,15.07275108679349,15.5014006065334,2922.0,1.2903850129540002,9.269023662967378,47.89059479510928,86.44580215466777,124.2195335214515,77.48535577753114,193.82359095804136
Mirae Asset Healthcare Fund Direct Growth,133.23164731352094,49.333967173739,27.314215561841525,12.114662533065834,15.199553028775691,1280.0,-1.010733826170492,-2.9562297834008837,26.750093587892394,101.81369209809266,127.06457175704158,,
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,694.9709471974829,207.6904835550057,29.55878753844732,15.07275108679349,14.48603645165383,2922.0,7.276858933460853,12.272181065436504,74.08758110132965,113.09371046653457,134.51047904191617,92.69341238552704,190.56179150063525
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,694.9709471974829,207.6904835550057,29.55878753844732,15.07275108679349,14.48603645165383,2922.0,7.276858933460853,12.272181065436504,74.08758110132965,113.09371046653457,134.51047904191617,92.69341238552704,190.56179150063525
Tata Small Cap Fund-Direct Plan-Growth,128.31904132592732,62.72028353326065,29.721506813113162,16.585926744107127,13.135580069006036,1158.0,2.6674649699742536,6.480747753634263,70.59260249157347,98.46944504426688,129.53698616452724,,
DSP Healthcare Fund - Direct Plan - Growth,128.28382512582655,65.72299627381621,30.646828030404794,17.77448391880374,12.872344111601056,1127.0,-2.19027484143762,-1.4821124361158389,18.75962624499435,92.71848704490544,128.19374568412744,,
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,612.1267497969518,207.6904835550057,27.78995567198619,15.07275108679349,12.717204585192698,2922.0,4.435597761947958,8.148293259834269,63.7657095691894,144.0565501926452,162.67151577097013,148.78408038255154,216.8636808728591
Mirae Asset Large & Midcap Fund - Direct Plan - Growth,605.727718183022,207.6904835550057,27.645949833798955,15.07275108679349,12.573198747005465,2922.0,-0.4334706613230317,8.12519022014812,39.209770114942515,71.54192821503298,103.97504353983655,94.88909612887889,169.17967368793248
Axis Small Cap Fund - Direct Plan - Growth,597.3604060913705,207.6904835550057,27.45591536809675,15.07275108679349,12.38316428130326,2922.0,6.166924265842341,12.44066131936486,61.13065916021579,84.05680600214362,148.42676311030743,132.7685530328702,198.7820791648543
Invesco India Smallcap Fund - Direct Plan - Growth,122.26600985221674,62.72028353326065,28.62752318078585,16.585926744107127,12.041596436678724,1158.0,1.6674177557458199,6.415094339622638,60.22727272727272,87.84346378018317,127.19033232628398,,
