Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
ICICI Prudential Commodities Fund - Direct Plan - Growth Option,268.23529411764713,82.96351509855204,36.699192650132,15.589720100017246,21.109472550114752,1522.0,13.440048323769263,23.796967699406732,28.718300205620295,49.64143426294821,158.49965588437715,265.0145772594753,
quant ESG Equity Fund - Growth Option - Direct Plan,176.7977803782417,67.56483797740238,39.10085386308564,18.21437696904651,20.88647689403913,1126.0,11.529130828257017,22.176725664085453,27.46726465973933,50.316205938726775,150.10104455340013,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,309.46215139442234,100.05800470530406,32.54876866020524,14.867773007254748,17.680995652950493,1826.0,11.620961172956832,26.41451414514144,42.84225156358581,42.99130434782609,148.39879154078548,285.2858481724461,309.46215139442234
Edelweiss Small Cap Fund - Direct Plan - Growth,285.47557840616963,101.35650118137593,32.14365821035534,15.554963495724138,16.588694714631202,1767.0,13.314538161948505,26.58527874281633,44.3428359866716,49.26110260336907,154.06972955360055,247.91183294663574,
Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,204.020618556701,81.66877971684103,32.81846838831475,16.46084488877786,16.35762349953689,1430.0,24.90470139771283,51.07581967213114,61.500547645125934,110.79342387419584,194.89999999999998,,
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,1197.0997944736243,256.8667442318745,29.475829287166476,13.68236529074851,15.793463996417966,3621.0,13.165110670991783,27.621330137807078,50.171704540892335,61.47968289500979,183.98685246053427,270.1611852109311,264.23314151084554
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,1197.0997944736243,256.8667442318745,29.475829287166476,13.68236529074851,15.793463996417966,3621.0,13.165110670991783,27.621330137807078,50.171704540892335,61.47968289500979,183.98685246053427,270.1611852109311,264.23314151084554
SBI Small Cap Fund - Direct Plan - Growth,1085.0425183192585,256.8667442318745,28.301971346353017,13.68236529074851,14.619606055604507,3621.0,6.602327145111706,16.762752528635666,26.623436798110184,38.3837066091054,106.34313459500689,178.90962180825576,199.54706324951462
UTI Small Cap Fund - Direct Plan - Growth Option,120.19821370285746,55.42689856419975,30.098192815946057,15.835602080904355,14.262590735041702,1095.0,11.320179210752643,22.137308257806843,37.302874623017935,38.92567192306973,120.19821370285746,,
HDFC Dividend Yield Fund - Growth Option Direct Plan,119.0811668981941,55.42689856419975,29.877827408482837,15.835602080904355,14.042225327578482,1095.0,13.446716678655847,25.67021458250328,39.88215914850481,51.8814060672766,119.0811668981941,,
Tata Small Cap Fund-Direct Plan-Growth,248.46033843738508,99.79681789137379,27.809219646629856,14.572861336661758,13.236358309968098,1857.0,9.648280800052525,18.923309086593086,35.62608046594913,49.579864191633106,159.65082444228904,225.412231944844,240.48934414291955
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,961.9019038746357,256.8667442318745,26.89082302075292,13.68236529074851,13.208457730004408,3621.0,16.976695228853856,28.4904338538925,32.02752470689567,50.749259980983965,146.12138769928384,268.3456761991569,283.83264167336745
Union Midcap Fund - Direct Plan - Growth Option,265.1031894934334,152.75683044982696,41.20193873614273,28.023430096439572,13.178508639703157,1370.0,9.69560315670802,19.459791282995713,34.20689655172414,33.105335157318756,104.94997367035283,,
Mirae Asset Midcap Fund- Direct Growth Option,212.57016840416995,95.46141743119266,29.39887856937475,16.364994954247102,13.03388361512765,1614.0,11.074698108502826,24.95792257754267,36.03524997818688,44.44804743595682,117.53871912934282,174.7554850647634,
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,175.9013282732448,96.24778183406649,34.5570190342646,21.79683602216913,12.760183012095467,1248.0,15.76433121019107,30.1118568232662,39.67339097022093,40.75508228460793,109.05823148813802,,
