"Date","Price","Open","High","Low","Change %"
"07/02/2017","6.511","6.511","6.511","6.511","0.00%"
"07/01/2017","6.511","6.511","6.511","6.511","0.00%"
"06/30/2017","6.511","6.511","6.511","6.511","0.06%"
"06/29/2017","6.507","6.507","6.507","6.507","0.15%"
"06/28/2017","6.497","6.497","6.497","6.497","0.53%"
"06/27/2017","6.463","6.463","6.463","6.463","0.05%"
"06/25/2017","6.460","6.460","6.460","6.460","0.02%"
"06/23/2017","6.459","6.459","6.459","6.459","0.09%"
"06/22/2017","6.453","6.453","6.453","6.453","0.36%"
"06/21/2017","6.430","6.430","6.430","6.430","-0.23%"
"06/20/2017","6.445","6.445","6.445","6.445","-0.31%"
"06/19/2017","6.465","6.465","6.465","6.465","-0.39%"
"06/16/2017","6.490","6.490","6.490","6.490","0.17%"
