Name,Sub Category,NSE Benchmark,BSE Benchmark,Crisil Benchmark,MSCI Benchmark,Plan,AUM,expense_ratio,lockin,exit_load,sip_investment,minimum_lumpsum,minimum_sip,absolute_returns__3m,absolute_returns__6m,absolute_returns__1y,3y_avg_annual_rolling_return_,cagr_3y,cagr_5y,cagr_10y,pe_ratio,category_pe_ratio,tracking_error,volatility,category_st_dev,maximum_drawdown,percentage_equity_holding,percentage_debt_holding,percentage_largecap_holding,percentage_midcap_holding,percentage_smallcap_holding,percentage_concetration__top_5_holdings,percentage_cash_holding
Aditya Birla SL Equity Hybrid '95 Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,7687.59,1.06,0,1,Allowed,100,100,1.33,10.66,26.57,14.6,11.12,15.15,12.09,47.78,46.11,2,10.31,11.25,31.97,75.61,19.26,55.19,7.91,12.51,21.9,2.07
Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,3857.87,1.14,0,1,Allowed,500,100,2.73,10.4,28.29,18.71,15.68,14.24,11.5,40.65,46.11,2.24,10.65,11.25,42.35,72.5,22.02,53.73,8.6,10.17,20.2,2.01
HDFC Hybrid Equity Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,24068.32,1.02,0,1,Allowed,100,2500,1.12,8.34,22.02,16.34,12.65,16.72,11.04,35.11,46.11,0,9.91,11.25,33.56,67.42,29.04,47.15,4,16.27,27.46,1.09
Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,49.36,0.75,0,1,Allowed,500,500,-2.99,4.52,24.75,15.56,11.88,14.06,10.73,57.75,46.11,5.58,13.16,11.25,25.72,66.44,24.35,48.28,17.18,0.99,32.41,10.13
PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,208.76,0.77,0,0.5,Allowed,5000,1000,1.96,8.56,21.77,12.44,8.6,13.69,10.27,51.87,46.11,3.17,9.68,11.25,31.22,66.04,20.93,46.38,14.29,5.37,33.94,2.11
LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,535.08,1.38,0,1,Allowed,5000,0,1.57,10.82,28,13.65,11.59,13.46,10.01,50.46,46.11,3.43,11.19,11.25,28.16,76.87,21.81,44.02,13.63,19.23,20.23,1.32
Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,9025.09,0.4,0,1,Allowed,5000,0,1.19,11,25.98,15.69,12.29,16.67,0,38.48,46.11,2.23,10.8,11.25,29,73.12,23.18,51.93,11.51,9.69,19.48,1.29
Axis Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,1701.53,1.05,0,1,Allowed,500,12000,2.68,13.34,26.92,11.98,8.97,13.98,0,46.95,46.11,2.58,10.37,11.25,28.01,74.52,20.43,54.91,7.84,11.78,20.84,3.12
Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,1465.17,0.45,0,1,Allowed,1000,500,1.53,12.25,33.89,20.73,16.88,21.44,0,40.82,46.11,2.96,11.43,11.25,25.41,75.97,20.17,54.44,10.24,11.29,23.49,3.86
Baroda BNP Paribas Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,1169.4,0.47,0,1,Allowed,5000,500,2.13,9.97,31.32,17.84,14.95,18.38,0,44.4,46.11,2.9,11.03,11.25,26.44,72.06,25.55,51.8,14.9,5.35,23.36,1.17
Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,1009.82,0.95,0,1,Allowed,5000,0,0.66,12.26,35.84,25.93,18.97,27.55,0,53.04,46.11,5.69,14.98,11.25,36.64,73.64,22.8,1.47,38,34.17,12.29,3.56
Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,787.1,1.02,0,1,Allowed,1000,100,3.71,14.05,29.6,16.51,13.42,17.67,0,56.91,46.11,4.12,12.3,11.25,31.55,73.26,21.35,43.26,10.81,19.18,22,2.12
Union Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,630.99,1.25,0,1,Allowed,1000,0,1,8.51,24.06,14.77,11.12,0,0,44.89,46.11,2.47,10.99,11.25,15.12,76.4,17.6,57.01,9.65,9.74,27.46,6
Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,545.2,0.84,0,1,Allowed,1000,1000,4.78,15.42,37.23,17.61,16.2,16.95,0,60.88,46.11,3.82,11.39,11.25,28.42,72.93,22.99,42.87,19.48,8.96,29.93,4.08
Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,109.32,0.42,0,0,Allowed,10,0,2.14,12.29,24.88,16.22,13.44,15.21,0,38.51,46.11,3.69,9.68,11.25,30.65,70.14,24.45,35.15,8.16,26.82,21.43,5.41
Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,45.72,0.85,0,1,Allowed,100,0,1.39,7.88,27.62,15.59,11.99,15.36,0,40.74,46.11,3.2,11.43,11.25,28.19,76,22.44,65.38,8.54,2.08,43.59,0.23
Edelweiss Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,12537.01,0.38,0,0.1,Allowed,100,100,1.89,4.11,8.42,6.44,7.04,6.17,6.75,36.86,33.19,1,1.03,1.03,0.53,72.3,13.33,47.81,18.9,5.17,19.41,1.26
Nippon India Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,15155.71,0.38,0,0.25,Allowed,5000,1500,1.85,4.01,8.23,6.33,6.91,6.03,6.74,33.1,33.19,1,0.98,1.03,0.62,70.71,4.61,49.19,16.5,5.03,29.99,8.87
Axis Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,5528.88,0.3,0,0.25,Allowed,500,0,1.86,4.05,8.27,6.35,6.93,5.99,6.64,32.49,33.19,0.99,0.96,1.03,0.64,-0.42,19.69,-0.24,-0.14,-0.04,86.42,72.5
Kotak Equity Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,53682.68,0.43,0,0.25,Allowed,100,100,1.88,4.14,8.47,6.45,7.1,6.13,6.64,38.93,33.19,0.94,1.03,1.03,0.57,78.48,0,61.48,14.16,2.85,30.87,2.15
