Name,Sub Category,NSE Benchmark,BSE Benchmark,Crisil Benchmark,MSCI Benchmark,Plan,AUM,expense_ratio,lockin,exit_load,sip_investment,minimum_lumpsum,minimum_sip,absolute_returns__3m,absolute_returns__6m,absolute_returns__1y,3y_avg_annual_rolling_return_,cagr_3y,cagr_5y,cagr_10y,pe_ratio,category_pe_ratio,tracking_error,volatility,category_st_dev,maximum_drawdown,percentage_equity_holding,percentage_debt_holding,percentage_largecap_holding,percentage_midcap_holding,percentage_smallcap_holding,percentage_concetration__top_5_holdings,percentage_cash_holding
HDFC FMP-Sr 47-1269D-March 2023,Fixed Maturity Plans,,,,,Growth,75.22,0,0,0,Not allowed,0,0,1.78,4.39,8.47,0,0,0,0,0,0,0,0.84,0.67,0.3,0,0,0,0,0,100,0.1
Aditya Birla SL FTP-UJ-1110D,Fixed Maturity Plans,,,,,Growth,72.54,0,0,0,Not allowed,0,0,1.78,4.06,8.02,0,0,0,0,0,0,0,0.62,0.67,0.2,0,0,0,0,0,91.3,4.49
Nippon India FHF-XLIV-1-1743D,Fixed Maturity Plans,,,,,Growth,71.45,0,0,0,Not allowed,0,0,1.94,4.7,9.19,0,0,0,0,0,0,0,0.82,0.67,0.55,0,0,0,0,0,92.22,2.14
Nippon India FHF-XLI-8-3654D,Fixed Maturity Plans,,,,,Growth,62.11,0,0,0,Not allowed,0,0,2.02,5.21,9.78,6.08,6.56,7.33,0,0,0,0,1.43,0.67,4.72,0,0,0,0,0,74.98,1.84
ICICI Pru FMP-88-1303D-S,Fixed Maturity Plans,,,,,Growth,61.69,0,0,0,Not allowed,0,0,1.91,4.37,8.73,0,0,0,0,0,0,0,0.71,0.67,0.19,0,0,0,0,0,95.74,5.67
TRUSTMF FMP-SR-II,Fixed Maturity Plans,,,,,Growth,57.85,0,0,0,Not allowed,0,0,2.18,4.64,9.2,0,0,0,0,0,0,0,0.54,0.67,0.18,0,0,0,0,0,43.33,4.74
UTI FTIF-XXXVI-I(1574D),Fixed Maturity Plans,,,,,Growth,57.21,0,0,0,Not allowed,0,0,1.8,4.65,8.92,0,0,0,0,0,0,0,1.1,0.67,0.6,0,0,0,0,0,100,0.73
Nippon India FHF-XLIV-4-1223D,Fixed Maturity Plans,,,,,Growth,51.32,0,0,0,Not allowed,0,0,1.83,4.21,8.32,0,0,0,0,0,0,0,0.74,0.67,0.52,0,0,0,0,0,100,0.09
HDFC FMP-Sr 47-1204D-Dec 2022,Fixed Maturity Plans,,,,,Growth,50.74,0,0,0,Not allowed,0,0,1.73,4,7.93,0,0,0,0,0,0,0,0.61,0.67,0.43,0,0,0,0,0,100,3.19
DSP FMP 264-60M & 17D,Fixed Maturity Plans,,,,,Growth,48.91,0,0,0,Not allowed,0,0,1.89,4.35,8.76,6.17,5.91,0,0,0,0,0,0.74,0.67,3.67,0,0,0,0,0,95.08,1.33
SBI FMP-1-3668D,Fixed Maturity Plans,,,,,Growth,46.2,0,0,0,Not allowed,0,0,1.99,5.14,9.7,6.19,6.53,7.34,0,0,0,0,0.97,0.67,4.56,0,0,0,0,0,56.63,1.51
SBI FMP-48-1458D,Fixed Maturity Plans,,,,,Growth,44.93,0,0,0,Not allowed,0,0,1.79,3.93,7.84,5.84,5.68,0,0,0,0,0,0.24,0.67,2.74,0,0,0,0,0,89.78,3.06
UTI FTIF-XXXV-III(1176D),Fixed Maturity Plans,,,,,Growth,42.36,0,0,0,Not allowed,0,0,1.76,4.08,8.08,0,0,0,0,0,0,0,0.65,0.67,0.46,0,0,0,0,0,100,3.05
SBI FMP-54-1842D,Fixed Maturity Plans,,,,,Growth,36.21,0,0,0,Not allowed,0,0,1.92,4.43,8.68,6.62,5.85,0,0,0,0,0,0.53,0.67,3.53,0,0,0,0,0,90.82,4.1
SBI FMP-6-3668D,Fixed Maturity Plans,,,,,Growth,33.43,0,0,0,Not allowed,0,0,1.98,5.12,9.6,6,6.35,7.14,0,0,0,0,0.96,0.67,4.59,0,0,0,0,0,73.78,1.43
Kotak FMP-305-1200D,Fixed Maturity Plans,,,,,Growth,33.39,0,0,0,Not allowed,0,0,1.77,4.11,8.11,0,0,0,0,0,0,0,0.7,0.67,0.48,0,0,0,0,0,99.07,0.93
HDFC FMP-Sr 46-1162D-Mar 2022,Fixed Maturity Plans,,,,,Growth,32.03,0,0,0,Not allowed,0,0,1.76,3.82,7.7,0,0,0,0,0,0,0,0.39,0.67,2.5,0,0,0,0,0,76.13,3.4
HDFC FMP-Sr 46-1876D-Mar 2022,Fixed Maturity Plans,,,,,Growth,31.24,0,0,0,Not allowed,0,0,1.93,4.57,8.91,0,0,0,0,0,0,0,0.74,0.67,3.42,0,0,0,0,0,86.62,3.52
SBI FMP-59-1618D,Fixed Maturity Plans,,,,,Growth,26.9,0,0,0,Not allowed,0,0,1.77,4.13,8.11,0,0,0,0,0,0,0,0.57,0.67,4.27,0,0,0,0,0,100,0.54
SBI FMP-34-3682D,Fixed Maturity Plans,,,,,Growth,26.54,0,0,0,Not allowed,0,0,2.15,5.29,10.05,6.02,6.59,0,0,0,0,0,1.1,0.67,3.33,0,0,0,0,0,94.58,2.09
Union FMP-Sr 13,Fixed Maturity Plans,,,,,Growth,24.92,0,0,0,Not allowed,0,0,1.77,4.03,7.97,0,0,0,0,0,0,0,0.56,0.67,0.16,0,0,0,0,0,96.05,1.9
Aditya Birla SL FTP-TJ-1838D,Fixed Maturity Plans,,,,,Growth,24.83,0,0,0,Not allowed,0,0,1.93,4.35,8.69,6.03,5.99,0,0,0,0,0,0.67,0.67,3.37,0,0,0,0,0,93.54,1.95
Aditya Birla SL FTP-UB-1224D,Fixed Maturity Plans,,,,,Growth,24.21,0,0,0,Not allowed,0,0,1.76,4.04,8.01,0,0,0,0,0,0,0,0.6,0.67,0.42,0,0,0,0,0,98.95,3.37
ICICI Pru Exports & Services Fund,Sectoral Fund - Service Industry,NIFTY 500,BSE 500 ,,,Growth,1482.57,1.66,0,1,Allowed,5000,0,2.4,15.33,40.68,24,19.65,23.97,15.43,36.45,45.78,4.75,11.71,12.32,37.49,88.93,1.33,67.68,9,11.01,30.45,8.86
Aditya Birla SL Focused Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,7728.52,0.85,0,1,Allowed,1000,0,2.35,13.64,35.3,18.25,13.73,18.53,14.03,41.01,48.53,4.35,13.47,14.64,36.73,94.44,0,79.66,12.52,2.27,31.74,5.56
Axis Retirement Fund-Conservative Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,404.64,0.72,5,0,Allowed,5000,1000,2.34,7.83,19.57,9.63,8.55,0,0,0,49.49,0,5.22,12.34,12.73,0,0,54.07,18.58,15.87,21.06,2.58
Aditya Birla SL Retirement Fund-30,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,422.95,1.04,5,0,Allowed,1000,500,2.32,14.32,33.35,14.64,13.32,15.48,0,0,49.49,3.81,13.89,12.34,34.23,0,0,53.33,18.2,25.49,26.4,2.67
Aditya Birla SL Retirement Fund-50,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,26.26,0.59,5,0,Allowed,1000,0,2.32,6.75,13.81,7.13,8.14,7.52,0,0,49.49,1.17,3.54,12.34,4.99,0,0,14.12,3.98,6.08,61.04,7.08
Edelweiss Focused Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,930.86,0.64,0,1,Allowed,100,100,2.31,15,39.52,0,0,0,0,52.77,48.53,3.97,15.21,14.64,7.28,97.94,0,71.15,22.24,4.56,30.87,2.06
Kotak Special Opportunities Fund,Thematic Fund,NIFTY 500,BSE 500 ,,,Growth,2275.41,0.56,0,1,Allowed,100,0,2.3,0,0,0,0,0,0,38.39,50.09,6.38,14.26,16.15,9.18,99.03,0,29.03,19.78,50.22,24.29,0.97
Bandhan Asset Alloc FoF-Mod,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,19.85,0.41,0,1,Allowed,1000,0,2.29,8.49,20.89,11.57,9.97,11.62,9.84,0,49.49,0,6.51,12.34,18.02,0,0,0,0,0,98.6,1.4
Taurus ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,79.74,1.95,3,0,Allowed,500,500,2.24,12.86,35.8,20.03,17.05,18.94,14.39,30.19,46.64,5.34,14.48,14.8,35.05,92.71,0,65.99,7.64,19.07,36.69,7.29
HDFC ELSS Tax saver,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,15934.95,1.08,3,0,Allowed,500,500,2.24,13.57,40.76,26.92,21.84,21.99,13.74,35.18,46.64,5.01,12.57,14.8,44.14,92.1,0.32,77.61,3.79,10.7,40.86,7.29
HDFC Retirement Savings Fund-Hybrid-Equity Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,1576.72,0.92,5,0,Allowed,100,5000,2.18,10.85,26.36,18.51,15.67,19.12,0,0,49.49,0,9.57,12.34,27.5,0,0,45.01,4.28,22.13,29.49,12.12
Aditya Birla SL Business Cycle Fund,Thematic Fund,NIFTY 500,BSE 500 ,,,Growth,1829.27,0.95,0,1,Allowed,500,0,2.15,14.3,33.59,0,0,0,0,43.31,50.09,3.26,13.65,16.15,16.35,98.36,0,55.83,14.94,26.17,23.7,1.33
Nippon India Retirement Fund-Income Generation,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,160.07,1.03,5,0,Allowed,500,500,2.15,7.46,15.83,8.31,8.45,9.23,0,0,49.49,1.83,4.17,12.34,7.4,0,0,15.68,2.38,1.24,74.48,3.95
Sundaram LT Tax Adv Fund-Sr III,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,37.53,1.37,3,0,Not allowed,0,0,2.12,11.25,25.21,33.5,21.31,29,0,44.63,46.64,8.75,15.8,14.8,49.86,96.13,0,1.1,12.3,82.73,24.09,3.87
LIC MF ELSS Tax Saver,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,1209.44,0.95,3,0,Allowed,500,1000,2.07,15.29,32.93,18.42,14.75,17.54,13.89,49.71,46.64,4.59,13.3,14.8,35.69,98.85,0,63.81,15.47,19.57,27.22,1.15
Aditya Birla SL Asset Allocator FoF,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,184.51,0.45,0,1,Allowed,1000,100,2.07,9.76,28.91,15.96,14.17,17.4,0,0,49.49,0,11.84,12.34,22.69,0,0,0,0,0,65.15,4.54
Union Value Fund,Value Fund,NIFTY 500,BSE 500 ,,,Growth,294.54,1.34,0,1,Allowed,1000,500,2.06,13.24,33.97,23.42,17.62,22.29,0,34.08,36.23,3.96,15.76,15.6,37.68,94.6,0.05,51.94,13.32,29.34,27.44,5.35
Sundaram LT Tax Adv Fund-Sr IV,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,23.25,1.17,3,0,Not allowed,0,0,2.04,11.24,25.16,33.22,21.15,29.06,0,43.91,46.64,8.76,15.75,14.8,42.3,96.18,0,1.18,10.86,84.14,25.01,3.82
HSBC Managed Solutions India-Conservative,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,22.74,0.53,0,1,Allowed,5000,500,2.02,5.47,11.22,6.26,6.63,7.18,7.12,0,49.49,1.52,2.18,12.34,5.15,0,0,0,0,0,100.28,1.71
ICICI Pru Retirement Fund-Pure Debt Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,115.93,1.19,5,0,Allowed,5000,0,1.99,4.56,8.59,5.68,6.18,7.23,0,0,49.49,0,0.82,12.34,2.67,0,0,0,0,0,60.27,3.97
Groww ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,51.21,0.55,3,0,Allowed,500,500,1.98,11.15,35.53,19.11,14.83,17.55,0,48.45,46.64,4.24,15.3,14.8,34.63,94.48,0,48.44,26.4,19.64,22.99,5.52
PGIM India ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,755.72,0.72,3,0,Allowed,500,500,1.98,11.61,25.08,18.88,13.91,19.77,0,55.44,46.64,4.36,12.75,14.8,36.67,94.61,0.16,60.69,22.71,11.2,26.89,5.23
Mirae Asset Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,2338.16,0.54,0,1,Allowed,5000,99,1.98,10.95,30.35,0,0,0,0,44.24,49.49,2.92,14.26,12.34,7.55,98.77,0,64.53,13.2,21.04,21.92,1.13
Bajaj Finserv Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,3779.86,0.47,0,1,Allowed,500,1000,1.94,15.76,39.41,0,0,0,0,56.05,49.49,4.66,13.25,12.34,6.92,96.23,0,55.34,19.32,21.57,25.63,3.77
Tata Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,3008.93,0.65,0,1,Allowed,5000,100,1.93,12.47,30.57,17.56,13.26,17.58,0,48.02,49.49,4.39,12.82,12.34,33.49,91.84,0,47.51,20.85,23.48,24.43,5.29
SBI LT Advantage Fund-VI,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,300.57,0,3,0,Not allowed,0,0,1.89,12.41,37.09,25.02,20.07,23.96,0,49.79,46.64,6.3,14.91,14.8,36.09,98.69,0,25.87,14.75,58.07,18.49,1.31
ICICI Pru Retirement Fund-Hybrid Cons Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,77.15,1.04,5,0,Allowed,5000,0,1.88,5.76,15.35,9.95,9.78,10.58,0,0,49.49,0,4.56,12.34,10.16,0,0,19.13,4.99,1.29,42.19,8.27
Axis Retirement Fund-Aggressive Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,969.18,0.88,5,0,Allowed,5000,100,1.87,12.59,32.72,13.03,10.7,0,0,0,49.49,0,10.96,12.34,25.88,0,0,50.66,18.26,9.07,23.57,3.77
Canara Rob Value Fund,Value Fund,NIFTY 500,BSE 500 ,,,Growth,1264.17,0.61,0,1,Allowed,5000,0,1.86,13.09,36.71,27.87,21.32,0,0,36.24,36.23,3.3,14.4,15.6,13.06,96.35,0,63.14,9.98,23.24,26.22,3.65
Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,1310.62,0.92,0,1,Allowed,5000,0,1.83,12.4,35.86,0,0,0,0,51.9,49.49,4.71,16.63,12.34,9.24,95.79,0,54.71,29.67,11.41,18.29,4.21
SBI Retirement Benefit Fund-Conservative Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,177.15,0.92,5,0,Allowed,5000,1500,1.82,6.41,12.53,9.07,8.92,0,0,0,49.49,1.06,3.19,12.34,3.5,0,0,11.59,3.64,3.4,53.42,3.61
Tata Retirement Sav Fund - Mod Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,2161.97,0.59,5,1,Allowed,5000,0,1.81,14.66,29.8,16.36,13.99,16.84,14.91,0,49.49,0,12.68,12.34,29.64,0,0,31.36,19.39,26.91,28.28,13.71
HDFC Dynamic PE Ratio FOF,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,48.49,0.23,0,1,Allowed,100,100,1.8,8.39,20.44,16.97,14.69,16.74,12.38,0,49.49,0,6.84,12.34,23.14,0,0,0,0,0,70.98,1.52
Samco ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,122.18,0.95,3,0,Allowed,500,500,1.77,9.11,20.92,0,0,0,0,48.5,46.64,8.92,16.43,14.8,8.85,99.81,0,6.51,53.97,39.33,23.56,0.19
Franklin India Dynamic Asset Allocation FOFs,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,1312.64,0.43,0,1,Allowed,5000,500,1.75,7.53,19.93,19.26,14.03,14.25,11.53,0,49.49,0,6.12,12.34,30.94,0,0,0,0,0,100,0.75
Aditya Birla SL Pure Value Fund,Value Fund,NIFTY 500,BSE 500 ,,,Growth,6416.05,1,0,1,Allowed,1000,100,1.74,12.89,36.81,26.13,20.23,23.55,14.9,37.34,36.23,5.77,17.88,15.6,57.48,98.33,0,43.26,15.29,39.78,17.43,1.59
Aditya Birla SL Retirement Fund-50 Plus-Debt Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,15.42,0.84,5,0,Allowed,1000,0,1.73,4,7.73,4.75,5.18,5.4,0,0,49.49,0.49,0.73,12.34,2.26,0,0,0,0,0,90.56,3.87
Franklin India ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,6832.69,0.99,3,0,Allowed,500,0,1.68,12.76,36.87,23.87,18.07,21.7,15.28,46.05,46.64,3.01,13.76,14.8,38.99,97.69,0,73.69,14.31,9.69,31.85,2.24
HDFC Retirement Savings Fund-Hybrid-Debt Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,163,1.02,5,0,Allowed,100,2500,1.68,6.48,14.61,9.7,9.62,10.21,0,0,49.49,0,3.61,12.34,7.84,0,0,29.12,1.06,7.8,42.31,16.34
ICICI Pru LT Wealth Enhancement Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,42.36,0.99,3,0,Not allowed,0,0,1.66,13.85,41.35,24.06,19.61,20.74,0,61.81,46.64,6.61,12.43,14.8,39.54,98.19,0,76.78,4.61,16.81,41.66,1.81
HDFC Capital Builder Value Fund,Value Fund,NIFTY 500,BSE 500 ,,,Growth,7429.39,0.97,0,1,Allowed,100,5000,1.64,14,39.82,23.31,17.72,21.76,15.3,42.53,36.23,2.8,14.35,15.6,43.9,98.79,0,67.37,13.53,17.89,26.55,0.86
Canara Rob Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,12901.37,0.57,0,1,Allowed,5000,1000,1.61,12.63,33.02,18.16,13.13,20.24,14.72,50.75,49.49,3.06,13.45,12.34,33.24,96.94,0,75.31,14.81,6.82,24.78,3.06
Bandhan Asset Alloc FoF-Cons,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,6.08,0.18,0,1,Allowed,1000,100,1.6,5.65,13.24,8.09,7.53,8.35,8.4,0,49.49,1.23,2.99,12.34,9.78,0,0,0,0,0,99.87,3.89
DSP ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,17770.63,0.74,3,0,Allowed,500,500,1.59,16.38,43.95,23.08,18.45,22.95,17.45,36.95,46.64,3.08,15.16,14.8,37.16,96.51,0,63,20.88,12.63,25.84,3.28
Union ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,930.85,1.32,3,0,Allowed,500,0,1.58,11.1,29.62,20.57,14.4,21.11,13.35,46.65,46.64,2.97,14.08,14.8,35.36,96.8,0.05,64.81,13.48,18.51,24.78,3.15
Franklin India Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,17449.65,0.92,0,1,Allowed,5000,500,1.57,12.27,35.8,24.06,17.51,23.56,15.96,45.96,49.49,3.06,13.55,12.34,37.72,96.79,0.14,71.68,15.22,9.89,30.78,3.01
Tata Focused Equity Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,1956.63,0.6,0,1,Allowed,5000,0,1.56,13.52,34.73,21.86,16.7,0,0,51.68,48.53,4.26,15.53,14.64,37.28,97.71,0,60.18,15.55,21.98,34.27,2.29
ICICI Pru Retirement Fund-Hybrid Aggressive Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,690.95,0.83,5,0,Allowed,5000,5000,1.56,9.62,40,22.43,18.47,20.27,0,0,49.49,6.78,14.94,12.34,28.71,0,0,44.2,21.13,14.12,18.82,5.82
Canara Rob ELSS Tax Saver,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,8790.7,0.54,3,0,Allowed,500,1000,1.54,12.97,33.67,19.19,14.15,22.29,15.64,50.17,46.64,2.97,13.69,14.8,34.27,95.47,0,67.11,17.58,10.79,25.34,4.53
Sundaram Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,2122.59,0.57,0,1,Allowed,100,750,1.52,11.51,27.91,0,0,0,0,47.47,49.49,3.66,13,12.34,9.04,96.5,0,68.27,14.93,13.3,26.77,3.5
Union Focused Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,415.68,1.51,0,1,Allowed,1000,500,1.51,7.64,24.89,17,10.96,18.95,0,56.79,48.53,4.54,15.33,14.64,33.96,94.4,0.09,72.88,8.95,12.56,31.04,5.51
LIC MF Value Fund,Value Fund,NIFTY 500,BSE 500 ,,,Growth,138.11,1.6,0,1,Allowed,5000,200,1.51,17.27,38.7,20.46,15.9,20.51,0,37.7,36.23,5.25,16,15.6,35.37,97.83,0,37.34,11.58,48.91,22.58,2.17
Aditya Birla SL Financial Planning FOF Conservative Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,19.09,0.64,0,1,Allowed,100,1000,1.5,7.12,17.93,11.2,10.65,12.06,9.6,0,49.49,2.62,6.09,12.34,11.47,0,0,0,0,0,67.05,4.47
Union Retirement Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,151.21,1.16,5,0,Allowed,1000,100,1.49,11.03,30.94,0,0,0,0,0,49.49,3.3,14.59,12.34,8.88,0,0,59.31,18.24,19.36,22.56,3.03
PGIM India Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,6337.68,0.42,0,0.5,Allowed,5000,1000,1.46,11.12,26.91,16.72,9.53,22.68,0,56.11,49.49,4.43,13.44,12.34,36.45,98.58,0.17,63.69,24.34,10.55,26.15,1.25
Old Bridge Focused Equity Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,936.73,1.24,0,1,Allowed,5000,2500,1.44,15.73,0,0,0,0,0,37.91,48.53,9.05,16.8,14.64,8.7,92.82,0,34.66,17.51,40.65,30.52,7.18
Tata Retirement Sav Fund - Prog Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,2088.63,0.53,5,1,Allowed,5000,150,1.43,15.49,34.01,17.94,14.78,17.91,16.13,0,49.49,5.04,14.78,12.34,34.2,0,0,36.17,21.75,33.54,24.98,8.54
Franklin India Pension Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,515.96,1.5,5,3,Allowed,500,0,1.41,7.21,18.49,10.41,9.81,10.61,9.62,0,49.49,1.27,5.72,12.34,13.81,0,0,26.5,5.4,6.84,32.27,1.55
Tata Retirement Sav Fund - Cons Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,174.39,0.97,5,1,Allowed,5000,1500,1.38,7.29,14.8,8.35,8.09,9.49,9.69,0,49.49,1.87,4.71,12.34,10.98,0,0,11.51,6.67,9.74,49.36,20.74
Axis ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,39252.74,0.77,3,0,Allowed,500,6000,1.29,10.72,30.37,12.51,7.62,14.88,14.17,54.42,46.64,6.1,12.73,14.8,33.51,97.45,0,75.05,20.11,2.29,22.91,2.55
Aditya Birla SL Financial Planning FOF Moderate Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,36.35,0.6,0,1,Allowed,100,0,1.28,8.89,23.68,14.27,12.8,15.15,11.42,0,49.49,0,9.07,12.34,17.3,0,0,0,0,0,61.71,4.47
Axis Focused Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,14469.77,0.81,0,1,Allowed,100,100,1.28,9.74,27.77,9.74,4.38,13.04,13.97,56.7,48.53,6.52,13.32,14.64,33.72,85.31,0,68.19,17.11,0,32.38,3.23
Groww Value Fund,Value Fund,NIFTY 500,BSE 500 ,,,Growth,44.54,0.9,0,1,Allowed,10,10,1.25,9.62,32.4,20.84,15.04,19.64,0,31.74,36.23,4.2,14.8,15.6,46.64,94.38,0,63.83,14.59,15.95,27.97,5.14
SBI Retirement Benefit Fund-Conservative Hybrid Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,274.81,1.16,5,0,Allowed,5000,5000,1.23,7.54,15.73,11.74,10.56,0,0,0,49.49,0,5.45,12.34,6.41,0,0,23.3,7.32,7.01,43.7,4.1
Nippon India Retirement Fund-Wealth Creation,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,3288.28,0.94,5,0,Allowed,500,5000,1.21,12.3,36.08,22.36,16.82,17.75,0,0,49.49,3.08,15.12,12.34,44.92,0,0,67.51,15.83,15.94,26.15,0.72
HDFC Retirement Savings Fund-Equity Plan,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,5970.04,0.66,5,0,Allowed,100,5000,1.19,12.32,33.93,26.2,20.05,25.56,0,0,49.49,3.64,12.46,12.34,34.89,0,0,59.06,8.93,23.85,29.29,7.29
LIC MF Dividend Yield Fund,Dividend Yield Fund,NIFTY 500,BSE 500 ,,,Growth,437.39,1.45,0,1,Allowed,5000,0,1.13,16.33,54.37,25.11,21.17,24.61,0,36.45,34.5,5.53,16.54,14.98,32.59,98.24,0,44.03,16.42,37.79,15.9,1.73
ICICI Pru ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,14346.87,1.08,3,0,Allowed,500,500,1.13,11.52,32.02,19.34,13.81,19.45,14.17,47.07,46.64,4.58,12.11,14.8,37.51,98.66,0,71.7,10.81,16.15,30.93,1.34
Mirae Asset ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,24895.71,0.58,3,0,Allowed,500,0,1.08,12,33.75,19.76,14.3,21.85,0,34.51,46.64,2.96,14.04,14.8,37.81,98.98,0,63.2,14.03,21.74,25.11,1.02
LIC MF Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,1134.79,1.38,0,1,Allowed,5000,1000,1.07,14.57,32.07,17.3,14.09,16.27,10.73,40.11,49.49,5.63,14.23,12.34,34.2,97.25,0,38.15,20.44,38.65,20.83,2.69
Aditya Birla SL Dividend Yield Fund,Dividend Yield Fund,NIFTY 500,BSE 500 ,,,Growth,1539.79,1.37,0,1,Allowed,1000,0,1.04,14.01,41.06,27.77,22.19,24.91,13.83,29.81,34.5,5.78,16.75,14.98,42.04,96.98,0,52.1,17.45,22.34,19.8,3.02
SBI Flexicap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,22092.9,0.81,0,0.1,Allowed,1000,5000,1.03,9.46,27.59,17.1,11.96,17.43,15.03,49.63,49.49,3.37,12.73,12.34,35.8,94.99,0,47.75,21.14,21.12,21.72,5.01
Navi Flexi Cap Fund,Flexi Cap Fund,NIFTY 500,BSE 500 ,,,Growth,267.05,0.42,0,0,Allowed,10,0,0.99,13.05,26.02,19.18,13.66,18.32,0,41.82,49.49,4.03,13.23,12.34,37.89,90.27,3.85,51.73,17.53,21,16.28,5.63
ICICI Pru Business Cycle Fund,Thematic Fund,NIFTY 500,BSE 500 ,,,Growth,12039.43,0.73,0,1,Allowed,5000,0,0.93,8.39,40.07,25.87,21.35,0,0,38.21,50.09,4.79,12.27,16.15,11.96,85.47,1.94,69.98,11.11,4.38,34.65,9.24
Motilal Oswal Focused Fund,Focused Fund,NIFTY 500,BSE 500 ,,,Growth,1924.61,0.9,0,1,Allowed,500,6000,0.88,14.51,28.19,14.46,12.04,16.14,14.03,44.85,48.53,8.08,15.65,14.64,34.55,99.9,0,20.95,25.76,53.19,48.23,0.1
