# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Portfolio size (funds),AUM average,Volatility,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,1963.42,15.863999999999999,8.088,20.666,52.00599999999999,19.683999999999997,22.03,Only 2/5
1,10,3340.951,15.612,7.08,19.624,47.24111111111111,Only 7/10,Only 6/10,Only 3/10
2,25,9381.265999999998,14.6532,5.4464,16.786666666666665,42.58772727272727,Only 17/25,Only 14/25,Only 10/25
3,50,6526.3334,13.5724,4.3618,14.821041666666668,37.66222222222222,17.435384615384617,Only 30/50,Only 20/50
0,5,7063.0419999999995,15.937999999999999,6.869999999999999,21.471999999999998,50.664,20.145999999999997,22.264000000000003,Only 3/5
1,10,6039.916,14.982,5.507000000000001,20.0,46.038,18.296999999999997,21.64333333333333,Only 6/10
2,25,4289.5184,15.444399999999998,4.475599999999999,18.0896,45.128750000000004,18.267,Only 18/25,Only 12/25
3,50,5470.453,14.85,3.4632,16.6216,41.2475,17.49605263157895,Only 33/50,Only 25/50
0,5,1748.976,18.284,4.220000000000001,16.966,56.208000000000006,21.357499999999998,Only 3/5,Only 0/5
1,10,1968.538,18.612000000000002,2.157,14.433999999999997,53.736000000000004,Only 7/10,Only 5/10,Only 2/10
2,25,4672.234,17.121599999999997,2.7308000000000003,15.47,49.3228,21.456315789473685,Only 16/25,Only 12/25
3,50,6210.4326,16.0602,2.0322000000000005,14.31,45.78280000000001,20.83,Only 37/50,Only 29/50
0,5,5371.568,15.742,1.408,12.751999999999999,46.238,25.03,25.958000000000006,17.35
1,10,17944.603,15.419,2.095,13.64,45.932,24.307,26.125999999999998,17.13625
2,25,11751.4892,15.469199999999999,1.6156,13.231200000000001,43.1576,22.8428,25.664736842105263,Only 15/25
3,50,8088.740599999999,15.401800000000001,1.5464000000000002,13.161799999999998,41.2072,21.5436,26.06926829268292,Only 25/50
0,5,11810.968,16.408,-0.8979999999999997,8.406,34.006,20.964000000000002,31.732000000000006,Only 3/5
1,10,5946.846,15.935000000000002,0.506,10.152,30.298000000000002,20.466,30.496000000000002,Only 3/10
2,25,10006.215600000001,15.616800000000001,0.49399999999999994,11.4252,37.08,21.097599999999996,28.0744,Only 15/25
3,50,9314.564400000001,15.374599999999997,0.915,12.369399999999999,39.217200000000005,20.496599999999997,26.092,Only 31/50
0,5,21243.698,16.407999999999998,-1.5379999999999998,9.188,41.988,21.663999999999998,29.119999999999997,20.18
1,10,14898.478,16.648,-0.5659999999999998,10.219000000000001,41.318999999999996,20.477000000000004,27.001000000000005,19.161
2,25,13140.134399999999,15.690400000000002,0.39160000000000006,11.8192,40.7288,20.054,25.286400000000004,17.851200000000002
3,50,13513.4952,14.792200000000001,1.015,12.294599999999997,38.6778,18.8254,23.4248,16.647399999999998
