Date,Action,Qty,Price,Total
2012-05-07,BUY,1.2227526489538354,5114.15,6253.3404596472565
2012-05-08,BUY,1.6558086214085,4999.95,8278.960316611428
2012-05-09,BUY,1.7814283614806636,4974.8,8862.249812694006
2012-05-10,BUY,1.805251110548105,4965.7,8964.335439648725
2012-05-11,BUY,1.9521134951308032,4928.9,9621.772206150215
2012-05-14,BUY,1.8672291328627226,4907.8,9163.98713826367
2012-05-15,BUY,1.750485509194631,4942.8,8652.299774847223
2012-05-16,BUY,2.108019732058,4858.25,10241.28686327078
2012-05-17,BUY,2.058808601592238,4870.2,10026.809651474518
2012-05-18,BUY,1.9731315930513622,4891.45,9651.474530831085
2012-05-21,BUY,2.218631791086415,4906.05,10884.718498659506
2012-05-22,BUY,2.4100862905794704,4860.5,11714.224415361516
2012-05-23,BUY,2.5053578736902153,4835.65,12115.03380191009
2012-05-24,BUY,2.1178787124407186,4921.4,10422.928295405753
2012-05-25,BUY,2.1272637850293252,4920.4,10466.98872785829
2012-05-28,BUY,1.862565100216581,4985.65,9286.097691894796
2012-05-29,BUY,1.8550475646246958,4990.1,9256.872852233695
2012-05-30,BUY,2.0266224524478367,4950.75,10033.301106456127
2012-05-31,BUY,2.129838512741624,4924.25,10487.857296367943
2012-06-01,BUY,2.4971649963259486,4841.6,12090.274046211714
2012-06-04,BUY,2.582459382804509,4848.15,12520.150456743679
2012-06-05,BUY,2.5133505667393363,4863.3,12223.177811223415
2012-06-06,BUY,1.9581249597885053,4997.1,9784.94623655914
2012-06-07,BUY,1.7461020666927949,5049.65,8817.204301075271
2012-06-08,BUY,1.8775595671684238,5068.35,9516.12903225808
2012-06-11,BUY,1.9254036912009924,5054.1,9731.182795698936
2012-06-12,BUY,1.6919630912438948,5115.9,8655.91397849464
2012-06-13,BUY,1.6882115372647366,5121.45,8646.090977524485
2012-06-14,BUY,1.9387534381483202,5054.75,9799.913941480221
2012-06-15,BUY,1.6119756897946214,5139.05,8284.023668639049
2012-06-18,BUY,1.9013343941858671,5064.25,9628.832705755778
2012-06-19,BUY,1.7438069581490672,5103.85,8900.129143349117
2012-06-20,BUY,1.681735383583185,5120.55,8611.410118406879
2012-06-21,BUY,1.5109565188395433,5165.0,7804.090419806241
2012-06-22,BUY,1.5792730928083658,5146.05,8127.018299246492
2012-06-25,BUY,1.7047212898022277,5114.65,8719.052744886963
2012-06-26,BUY,1.6711429474236146,5120.8,8557.588805166846
2012-06-27,BUY,1.591014919093437,5141.9,8180.839612486543
2012-06-28,BUY,1.567869839877739,5149.15,8073.196986006459
2012-06-29,BUY,1.0870801539400123,5278.9,5738.587424633931
2012-07-02,BUY,1.0813722189070327,5278.6,5708.131394722664
2012-07-03,BUY,1.04313629570554,5287.95,5516.052574876109
2012-07-04,BUY,0.9856188255553026,5302.55,5226.29310344827
2012-07-05,BUY,0.9001292626076323,5327.3,4795.258620689639
2012-07-06,BUY,0.9322819570851952,5316.95,4956.896551724129
2012-07-09,BUY,1.082662463920783,5275.15,5711.206896551717
2012-07-10,BUY,0.8265321163770125,5345.35,4418.103448275864
2012-07-11,BUY,0.9626875760945889,5306.3,5108.309085030717
2012-07-12,BUY,1.2169964613820137,5235.25,6371.280724450187
2012-07-13,BUY,1.3922479377005157,5227.25,7277.628032345021
2012-07-16,BUY,1.5558715415406679,5197.25,8086.253369272236
2012-07-17,BUY,1.5618475470141668,5192.85,8110.440034512517
2012-07-18,BUY,1.4786444143710917,5216.3,7713.052858683926
2012-07-19,BUY,1.3991818777798575,5242.7,7335.490830636459
2012-07-20,BUY,1.5129133266255324,5205.1,7874.865156418559
2012-07-23,BUY,1.728375412582445,5117.95,8845.738942826325
2012-07-24,BUY,1.7612513565896568,5128.2,9032.049206863077
2012-07-25,BUY,1.8271902984264365,5109.6,9336.211548839721
2012-07-26,BUY,2.0439439385772373,5043.0,10307.609282245008
2012-07-27,BUY,1.9576673897813828,5099.85,9983.810037776586
2012-07-30,BUY,1.5879227535568596,5199.8,8256.88073394496
2012-07-31,BUY,1.486169796756993,5229.0,7771.181867242316
2012-08-01,BUY,1.4417165736596447,5240.5,7555.315704263368
2012-08-02,BUY,1.5071713354180651,5227.75,7879.11494873179
2012-08-03,BUY,1.5482366018735088,5215.7,8075.137644391659
2012-08-06,BUY,1.2981327964501397,5282.55,6857.451403887686
2012-08-07,BUY,1.0971253072095115,5336.7,5855.028626985
2012-08-08,BUY,1.0930468255187586,5338.0,5834.683954619134
2012-08-09,BUY,1.1773326381184104,5322.95,6266.882766072393
2012-08-10,BUY,1.18424540366327,5320.4,6300.659245650061
2012-08-13,BUY,1.0006453657232455,5347.9,5351.3513513513435
2012-08-14,BUY,0.6228872380702661,5380.35,3351.3513513513567
2012-08-16,BUY,0.5341957066287903,5362.95,2864.864864864871
2012-08-17,BUY,0.5338622262759948,5366.3,2864.864864864871
2012-08-21,BUY,0.3091082227772862,5421.0,1675.6756756756686
2012-08-22,BUY,0.3395323790309794,5412.85,1837.837837837837
2012-08-23,BUY,0.329393997393294,5415.35,1783.7837837837747
2012-08-24,BUY,0.4314931821568535,5386.7,2324.324324324323
2012-08-27,BUY,0.5556699169147193,5350.25,2972.972972972977
2012-08-28,BUY,0.5961911609817863,5334.6,3180.441367373437
2012-08-29,BUY,0.7474479311900668,5287.8,3952.3551705468353
2012-08-30,BUY,0.6519371418302552,5315.05,3465.078505684898
2012-08-31,BUY,0.8545732979100672,5258.5,4493.773687060088
2012-09-03,BUY,0.8656513040611797,5253.75,4547.915538711423
2012-09-04,BUY,0.7928635054253826,5274.0,4181.562127613468
2012-09-05,BUY,0.9542166340391977,5225.7,4986.449864498635
2012-09-06,BUY,0.8942521051688213,5238.4,4684.450227716353
2012-09-07,BUY,0.5278741723389786,5342.1,2819.956616052058
2012-09-08,BUY,0.4655190636735769,5358.7,2494.5770065075967
2012-09-10,BUY,0.45104920629083706,5363.45,2419.17986548059
2012-09-11,BUY,0.32213349010496545,5390.0,1736.2995116657637
2012-09-12,BUY,0.1898228383449739,5431.0,1030.9278350515533
2012-09-13,BUY,0.1697055600048619,5435.35,922.4091155724262
2012-10-30,BUY,0.1351858298213187,5597.9,756.7567567567598
2012-10-31,BUY,0.0961867253662203,5619.7,540.5405405405482
2012-11-01,BUY,0.03830191339602158,5645.05,216.21621621621162
2012-11-09,BUY,0.06654269129538447,5686.25,378.3783783783799
2012-11-12,BUY,0.5230700024584297,5683.7,2972.972972972977
2012-11-13,BUY,0.5723084275039044,5666.95,3243.243243243251
2012-11-15,BUY,0.6911546602542862,5631.0,3891.8918918918853
2012-11-16,BUY,0.8533753297434991,5574.05,4756.756756756751
2012-11-19,BUY,0.8634832915983082,5571.4,4810.810810810814
2012-11-20,BUY,0.8468207413175431,5571.55,4718.104101287758
2012-11-21,BUY,0.7039173560138982,5614.8,3952.3551705468353
2012-11-22,BUY,0.6541950001848339,5627.75,3681.645912290199
2012-11-23,BUY,0.6639511896956448,5626.6,3735.787763941515
2012-11-26,BUY,0.6244291696687687,5635.9,3519.2203573362135
2012-11-27,BUY,0.33474659183715133,5727.45,1917.2443674176923
2012-11-29,BUY,0.03534296863265054,5825.0,205.87279228518938
2013-01-31,BUY,0.026827892163589363,6034.75,161.8996222342209
2013-02-01,BUY,0.0971680732141139,5998.9,582.9015544041479
2013-02-04,BUY,0.0829607280730905,5987.25,496.7066191556111
2013-02-05,BUY,0.17222345961253027,5956.9,1025.9179265658815
2013-02-06,BUY,0.1630960944791752,5959.2,971.9222462203008
2013-02-07,BUY,0.22191715041149668,5938.8,1317.9215728637964
2013-02-08,BUY,0.32029640045872065,5903.5,1890.8698001080572
2013-02-11,BUY,0.3114431443112982,5897.85,1836.8449486763902
2013-02-12,BUY,0.20068328096184065,5922.5,1188.5467314965013
2013-02-13,BUY,0.16390620614869025,5932.95,972.4473257698718
2013-02-14,BUY,0.21444839106465638,5896.95,1264.5914396887254
