Date,Prob_Up,Prob_Down,Prediction,Actual
2020-06-30,0.0685247642297393,0.9314752357702607,Down,Up
2020-07-01,0.05166936176282322,0.9483306382371768,Down,Up
2020-07-02,0.03821120126246069,0.9617887987375393,Down,Up
2020-07-03,0.03565212476580493,0.9643478752341951,Down,Up
2020-07-06,0.030187290235348718,0.9698127097646513,Down,Up
2020-07-07,0.028950552821412456,0.9710494471785875,Down,Up
2020-07-08,0.032608438035951925,0.9673915619640481,Down,Up
2020-07-09,0.02852291132586615,0.9714770886741338,Down,Up
2020-07-10,0.028456060468795452,0.9715439395312045,Down,Up
2020-07-13,0.027291032066791288,0.9727089679332087,Down,Up
2020-07-14,0.035011312120200255,0.9649886878797997,Down,Up
2020-07-15,0.03458043089008722,0.9654195691099128,Down,Up
2020-07-16,0.029853079837871,0.970146920162129,Down,Up
2020-07-17,0.025080235283830965,0.974919764716169,Down,Up
2020-07-20,0.02152617896296305,0.978473821037037,Down,Up
2020-07-21,0.020014792943280346,0.9799852070567197,Down,Up
2020-07-22,0.020933893741999277,0.9790661062580007,Down,Up
2020-07-23,0.018301730705919672,0.9816982692940803,Down,Up
2020-07-24,0.01700964022199758,0.9829903597780024,Down,Up
2020-07-27,0.018668523496965794,0.9813314765030342,Down,Up
2020-07-28,0.013052557863436398,0.9869474421365636,Down,Up
2020-07-29,0.015245301723846305,0.9847546982761537,Down,Up
2020-07-30,0.016413837145792143,0.9835861628542079,Down,Up
2020-07-31,0.011134387665913903,0.9888656123340861,Down,Up
2020-08-03,0.014654590739203055,0.985345409260797,Down,Up
2020-08-04,0.01019012820708276,0.9898098717929172,Down,Up
2020-08-05,0.01016644161572966,0.9898335583842703,Down,Up
2020-08-06,0.008839347128377306,0.9911606528716227,Down,Up
2020-08-07,0.008732250979472611,0.9912677490205274,Down,Up
2020-08-10,0.0066333359939830805,0.9933666640060169,Down,Up
2020-08-11,0.006200743434820244,0.9937992565651798,Down,Up
2020-08-12,0.006425066449227468,0.9935749335507725,Down,Up
2020-08-13,0.00618524007295973,0.9938147599270403,Down,Up
2020-08-14,0.007531841479269663,0.9924681585207303,Down,Up
2020-08-17,0.0055946232980380595,0.9944053767019619,Down,Up
2020-08-18,0.004536590996863654,0.9954634090031363,Down,Up
2020-08-19,0.004450408660340077,0.9955495913396599,Down,Up
2020-08-20,0.005010957927885085,0.9949890420721149,Down,Up
2020-08-21,0.004615222751952697,0.9953847772480473,Down,Up
2020-08-24,0.0038735185990436127,0.9961264814009564,Down,Up
2020-08-25,0.0038931271096321884,0.9961068728903678,Down,Up
2020-08-26,0.0035059113101294503,0.9964940886898705,Down,Up
2020-08-27,0.0035056345107667974,0.9964943654892332,Down,Up
2020-08-28,0.0030846442428879017,0.9969153557571121,Down,Up
