,Portfolio size (funds),AUM average,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,11810.968,-0.8979999999999997,8.406,34.006,20.964000000000002,31.732000000000006,Only 3/5
1,10,5946.846,0.506,10.152,30.298000000000002,20.466,30.496000000000002,Only 3/10
2,25,10006.215600000001,0.49399999999999994,11.4252,37.08,21.097599999999996,28.0744,Only 15/25
3,50,9314.564400000001,0.915,12.369399999999999,39.217200000000005,20.496599999999997,26.092,Only 31/50
