,Portfolio size (funds),AUM average,Volatility,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,1748.976,18.284,4.220000000000001,16.966,56.208000000000006,21.357499999999998,Only 3/5,Only 0/5
1,10,1968.538,18.612000000000002,2.157,14.433999999999997,53.736000000000004,Only 7/10,Only 5/10,Only 2/10
2,25,4672.234,17.121599999999997,2.7308000000000003,15.47,49.3228,21.456315789473685,Only 16/25,Only 12/25
3,50,6210.4326,16.0602,2.0322000000000005,14.31,45.78280000000001,20.83,Only 37/50,Only 29/50
