,Portfolio size (funds),AUM average,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,21243.698,-1.5379999999999998,9.188,41.988,21.663999999999998,29.119999999999997,20.18
1,10,14898.478,-0.5659999999999998,10.219000000000001,41.318999999999996,20.477000000000004,27.001000000000005,19.161
2,25,13140.134399999999,0.39160000000000006,11.8192,40.7288,20.054,25.286400000000004,17.851200000000002
3,50,13513.4952,1.015,12.294599999999997,38.6778,18.8254,23.4248,16.647399999999998
