,Portfolio size (funds),AUM average,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,1748.976,5.430000000000001,6.336,24.978000000000005,7.937499999999998,-,-
1,10,1968.538,3.367,3.8039999999999967,22.506000000000004,-,-,-
2,25,4672.234,3.9408000000000003,4.84,18.0928,8.036315789473685,-,-
3,50,6210.4326,3.2422000000000004,3.6799999999999997,14.552800000000008,7.409999999999998,-,-
