,Portfolio size (funds),AUM average,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,1963.42,9.297999999999998,10.036,20.775999999999993,6.263999999999998,3.5100000000000016,-
1,10,3340.951,8.29,8.993999999999998,16.01111111111111,-,-,-
2,25,9381.265999999998,6.6564,6.1566666666666645,11.35772727272727,-,-,-
3,50,6526.3334,5.5718,4.191041666666667,6.432222222222219,4.015384615384617,-,-
