,Portfolio size (funds),AUM average,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,7063.0419999999995,6.869999999999999,21.471999999999998,50.664,20.145999999999997,22.264000000000003,Only 3/5
1,10,6039.916,5.507000000000001,20.0,46.038,18.296999999999997,21.64333333333333,Only 6/10
2,25,4289.5184,4.475599999999999,18.0896,45.128750000000004,18.267,Only 18/25,Only 12/25
3,50,5470.453,3.4632,16.6216,41.2475,17.49605263157895,Only 33/50,Only 25/50
