Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
Union Midcap Fund - Direct Plan - Growth Option,265.1031894934334,-74.65714196006422,41.20193873614273,-30.62975874877838,71.83169748492111,1370.0,9.69560315670802,19.459791282995713,34.20689655172414,33.105335157318756,104.94997367035283,,
quant ESG Equity Fund - Growth Option - Direct Plan,176.7977803782417,-56.90084698143093,39.10085386308564,-23.877904384508664,62.9787582475943,1126.0,11.529130828257017,22.176725664085453,27.46726465973933,50.316205938726775,150.10104455340013,,
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,175.9013282732448,-66.49903154174874,34.5570190342646,-27.373602736720393,61.93062177098499,1248.0,15.76433121019107,30.1118568232662,39.67339097022093,40.75508228460793,109.05823148813802,,
ICICI Prudential Commodities Fund - Direct Plan - Growth Option,268.23529411764713,-63.58098941895752,36.699192650132,-21.51268795167183,58.21188060180383,1522.0,13.440048323769263,23.796967699406732,28.718300205620295,49.64143426294821,158.49965588437715,265.0145772594753,
Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,125.80139026812311,-63.22554521113906,28.46067155676262,-26.479849966602988,54.940521523365604,1187.0,13.291646944520567,19.44151157476717,31.585282577747932,31.5106998264893,91.07731092436974,,
Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,204.020618556701,-61.00139341058623,32.81846838831475,-21.36472225410867,54.18319064242342,1430.0,24.90470139771283,51.07581967213114,61.500547645125934,110.79342387419584,194.89999999999998,,
Invesco India Focused Fund - Direct Plan - Growth,112.65060240963854,-62.89608534991712,26.899160866209225,-26.878197619323075,53.777358485532304,1156.0,18.06020066889631,27.13085234093637,36.2934362934363,26.44776119402985,81.02564102564104,,
Mahindra Manulife Focused Fund - Direct Plan -Growth,123.49478457147971,-56.90084698143093,29.782826335967428,-23.877904384508664,53.660730720476096,1126.0,12.021969587472146,23.783298545520637,32.19039105093836,46.35515357517271,108.22092937078484,,
UTI Small Cap Fund - Direct Plan - Growth Option,120.19821370285746,-54.86843800513841,30.098192815946057,-23.29445001460013,53.39264283054619,1095.0,11.320179210752643,22.137308257806843,37.302874623017935,38.92567192306973,120.19821370285746,,
HSBC Focused Fund - Direct Growth,119.60811882977973,-66.49903154174874,25.869702096346604,-27.373602736720393,53.243304833067,1248.0,12.465732992506243,20.083472912490734,30.896182648620478,30.339878163632683,71.97483287455759,,
HDFC Dividend Yield Fund - Growth Option Direct Plan,119.0811668981941,-54.86843800513841,29.877827408482837,-23.29445001460013,53.17227742308297,1095.0,13.446716678655847,25.67021458250328,39.88215914850481,51.8814060672766,119.0811668981941,,
Aditya Birla Sun Life Special Opportunities Fund-Direct-Growth,104.70941883767534,-62.89608534991712,25.383354369763957,-26.878197619323075,52.26155198908703,1156.0,11.578372474057899,20.88757396449705,26.97327532628962,27.767354596622884,72.69653423499577,,
Edelweiss Small Cap Fund - Direct Plan - Growth,285.47557840616963,-63.79276184371931,32.14365821035534,-18.92953572260546,51.073193932960805,1767.0,13.314538161948505,26.58527874281633,44.3428359866716,49.26110260336907,154.06972955360055,247.91183294663574,
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,98.39469005091729,-62.89608534991712,24.14902403875807,-26.878197619323075,51.027221658081146,1156.0,10.36558293758955,15.352173070258385,22.759892479839962,29.505991281811156,68.37777587241702,,
Mirae Asset Midcap Fund- Direct Growth Option,212.57016840416995,-65.5248350806002,29.39887856937475,-21.402486033185497,50.80136460256025,1614.0,11.074698108502826,24.95792257754267,36.03524997818688,44.44804743595682,117.53871912934282,174.7554850647634,
ITI Small Cap Fund - Direct Plan - Growth Option,147.72631888194064,-63.89962246909757,26.660399233214484,-23.313426403980063,49.97382563719455,1401.0,18.112918717733216,32.845881604933396,54.62594879922459,50.961962672395586,103.68983634277431,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,309.46215139442234,-61.29306770113237,32.54876866020524,-17.281452525740406,49.830221185945646,1826.0,11.620961172956832,26.41451414514144,42.84225156358581,42.99130434782609,148.39879154078548,285.2858481724461,309.46215139442234
ICICI Prudential Business Cycle Fund Direct Plan Growth,94.8432760364004,-53.22622730023722,25.71154636186823,-22.945867323247082,48.657413685115316,1064.0,13.754427390791015,21.962025316455687,34.285714285714285,50.19485580670303,,,
ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan - Growth,83.81618381618381,-62.89608534991712,21.193008544806148,-26.878197619323075,48.07120616412922,1156.0,13.230769230769221,20.89356110381076,33.52685050798258,30.496453900709213,62.40070609002647,,
Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth,145.7673991394028,-61.00139341058623,25.799603595601717,-21.36472225410867,47.16432584971039,1430.0,11.713265292230348,22.525284701759976,34.4497058871721,39.742730957435946,106.87429618300084,,
,,,,,,,,,,,,,
Union Midcap Fund - Direct Plan - Growth Option,276.9230769230769,-75.90264080084663,41.29606998323854,-30.97830548220928,72.27437546544782,1401.0,16.362583260932517,18.70014771048744,43.60257326661901,43.34641455583303,114.63675213675215,,
