Date,Prob_Up,Prob_Down,Prediction,Actual
2002-12-27,0.9928604355074682,0.007139564492531836,Up,Up
2002-12-30,0.9939634129180767,0.006036587081923339,Up,Up
2002-12-31,0.993825311192296,0.0061746888077039985,Up,Up
2003-01-01,0.9928446351930433,0.007155364806956721,Up,Up
2003-01-02,0.9940679504382378,0.005932049561762187,Up,Up
2003-01-03,0.9945311810037807,0.005468818996219316,Up,Up
2003-01-06,0.9952593331039032,0.004740666896096701,Up,Up
2003-01-07,0.995644311662621,0.004355688337378927,Up,Up
2003-01-08,0.9947712666317428,0.0052287333682572434,Up,Up
2003-01-09,0.9936601048811987,0.006339895118801286,Up,Up
2003-01-10,0.995903139298725,0.0040968607012750735,Up,Up
2003-01-13,0.9966066449394781,0.003393355060521852,Up,Up
2003-01-14,0.9961562182999135,0.003843781700086424,Up,Up
2003-01-15,0.9954891037135072,0.004510896286492816,Up,Up
2003-01-16,0.9951987028225044,0.0048012971774955004,Up,Up
2003-01-17,0.9954236298606676,0.004576370139332486,Up,Up
2003-01-20,0.9965808455192819,0.003419154480718112,Up,Up
2003-01-21,0.9965246700966655,0.0034753299033345453,Up,Up
2003-01-22,0.9960336132693557,0.003966386730644311,Up,Up
2003-01-23,0.9971823080861855,0.002817691913814535,Up,Up
2003-01-24,0.9981862730960133,0.0018137269039867343,Up,Up
2003-01-27,0.9989856960152618,0.0010143039847382296,Up,Up
2003-01-28,0.9986748323700249,0.0013251676299751436,Up,Up
2003-01-29,0.9990061386775717,0.0009938613224283466,Up,Up
2003-01-30,0.9991115771148007,0.0008884228851992471,Up,Up
2003-01-31,0.9988946351638419,0.0011053648361580293,Up,Up
2003-02-03,0.9983505603085112,0.001649439691488841,Up,Up
2003-02-04,0.9983596081950963,0.0016403918049037736,Up,Up
2003-02-05,0.9987057027018551,0.0012942972981448975,Up,Up
2003-02-06,0.9979388674696119,0.0020611325303880323,Up,Up
2003-02-07,0.998296768196858,0.001703231803141969,Up,Up
2003-02-10,0.998730061465356,0.0012699385346439107,Up,Up
2003-02-11,0.9987816987738385,0.0012183012261614556,Up,Up
2003-02-12,0.9989131117706814,0.0010868882293185722,Up,Up
2003-02-14,0.9992122786389875,0.0007877213610124612,Up,Up
2003-02-17,0.9984283251987925,0.0015716748012074566,Up,Up
2003-02-18,0.9984009700059808,0.0015990299940191743,Up,Up
2003-02-19,0.998212995360242,0.0017870046397580053,Up,Up
2003-02-20,0.9981533121343161,0.0018466878656838714,Up,Up
2003-02-21,0.9981428291810314,0.0018571708189686342,Up,Up
2003-02-24,0.9979524257846999,0.0020475742153001075,Up,Up
2003-02-25,0.9986986764410725,0.0013013235589275363,Up,Up
2003-02-26,0.9989449643830702,0.001055035616929767,Up,Up
2003-02-27,0.9988613831590345,0.0011386168409655562,Up,Up
2003-02-28,0.9984190876032137,0.001580912396786316,Up,Up
2003-03-03,0.9986417595261974,0.0013582404738025633,Up,Up
2003-03-04,0.9990303993940015,0.000969600605998544,Up,Up
2003-03-05,0.9992453043952423,0.0007546956047577158,Up,Up
2003-03-06,0.999464765462664,0.0005352345373360046,Up,Up
2003-03-07,0.9996849176112,0.00031508238879995876,Up,Up
2003-03-10,0.9997933881997412,0.00020661180025882686,Up,Up
2003-03-11,0.999722570571235,0.0002774294287649637,Up,Up
2003-03-12,0.999840080253918,0.00015991974608198234,Up,Up
2003-03-13,0.9998573032311099,0.00014269676889011595,Up,Up
2003-03-17,0.9998994672611905,0.00010053273880950009,Up,Up
2003-03-19,0.9998271889582282,0.00017281104177180318,Up,Up
2003-03-20,0.9996109481965835,0.0003890518034165291,Up,Up
2003-03-21,0.9995257783036141,0.0004742216963858903,Up,Up
2003-03-22,0.9994013747833458,0.0005986252166542139,Up,Up
2003-03-24,0.9997595594382658,0.0002404405617341676,Up,Up
2003-03-25,0.9997937380321305,0.00020626196786949214,Up,Up
2003-03-26,0.9997759388150909,0.00022406118490908566,Up,Up
2003-03-27,0.9998704610533816,0.0001295389466183794,Up,Up
2003-03-28,0.99988635198086,0.00011364801914004463,Up,Up
2003-03-31,0.9999606174254749,3.938257452512639e-05,Up,Up
2003-04-01,0.999950310709989,4.9689290011090126e-05,Up,Up
2003-04-02,0.9999034020392407,9.659796075933702e-05,Up,Up
2003-04-03,0.9998576787337973,0.00014232126620272734,Up,Up
2003-04-04,0.999810115585479,0.0001898844145208911,Up,Up
2003-04-07,0.9996732302429119,0.00032676975708811895,Up,Up
2003-04-08,0.9998159150472369,0.00018408495276311942,Up,Up
2003-04-09,0.9999002988151542,9.970118484575741e-05,Up,Up
2003-04-10,0.9999877963464483,1.2203653551701166e-05,Up,Up
2003-04-11,0.99999376512868,6.234871320009994e-06,Up,Up
2003-04-15,0.9999933229163571,6.677083642936399e-06,Up,Up
2003-04-16,0.9999902571972676,9.742802732415345e-06,Up,Up
2003-04-17,0.999996243601686,3.7563983139032864e-06,Up,Up
2003-04-21,0.9999944885867758,5.511413224301709e-06,Up,Up
2003-04-22,0.9999958597039008,4.140296099186536e-06,Up,Up
2003-04-23,0.9999977503789985,2.249621001537694e-06,Up,Up
2003-04-24,0.9999982265622829,1.7734377170675053e-06,Up,Up
2003-04-25,0.9999986555803646,1.34441963534071e-06,Up,Up
2003-04-28,0.9999981598051195,1.8401948804758206e-06,Up,Up
2003-04-29,0.9999979112351081,2.0887648918832546e-06,Up,Up
2003-04-30,0.9999888616143294,1.1138385670572681e-05,Up,Up
2003-05-02,0.9999999998427054,1.5729459801240707e-10,Up,Up
2003-05-05,0.9999999987430618,1.2569382708353444e-09,Up,Up
2003-05-06,0.9999999939535242,6.04647574007015e-09,Up,Up
2003-05-07,0.999999986803448,1.3196551976944344e-08,Up,Up
2003-05-08,0.9999999816248678,1.8375132207381078e-08,Up,Up
2003-05-09,0.9999999667089667,3.329103323555241e-08,Up,Up
2003-05-12,0.9999999384240814,6.157591856889982e-08,Up,Up
2003-05-13,0.9999998400348613,1.5996513873808012e-07,Up,Up
2003-05-14,0.9999996381811098,3.6181889015817217e-07,Up,Up
2003-05-15,0.9999992863510397,7.136489602533257e-07,Up,Up
2003-05-16,0.9999984185886415,1.5814113585588263e-06,Up,Up
2003-05-19,0.9999983813361628,1.6186638371329387e-06,Up,Up
2003-05-20,0.999997483389654,2.5166103460039224e-06,Up,Up
2003-05-21,0.9999972475852251,2.752414774848111e-06,Up,Up
2003-05-22,0.999997164098336,2.835901663889029e-06,Up,Up
2003-05-23,0.9999959023048943,4.097695105675925e-06,Up,Up
2003-05-26,0.9999919853256597,8.014674340306449e-06,Up,Up
2003-05-27,0.9999878623429468,1.213765705315728e-05,Up,Up
2003-05-28,0.9999910467579669,8.953242033038489e-06,Up,Up
2003-05-29,0.999977293074104,2.2706925895954466e-05,Up,Up
2003-05-30,0.999972355460891,2.764453910897302e-05,Up,Up
2003-06-02,0.9999742574508739,2.5742549126184233e-05,Up,Up
2003-06-03,0.9999752703514602,2.472964853988957e-05,Up,Up
2003-06-04,0.9999638288361636,3.617116383641816e-05,Up,Up
2003-06-05,0.9999434971552215,5.650284477859424e-05,Up,Up
2003-06-06,0.9999199343913854,8.006560861467671e-05,Up,Up
2003-06-09,0.9999052092555141,9.479074448592861e-05,Up,Up
2003-06-10,0.9999336210443482,6.6378955651758e-05,Up,Up
2003-06-11,0.9999206737712456,7.93262287544505e-05,Up,Up
2003-06-12,0.9999035051925709,9.649480742912608e-05,Up,Up
2003-06-13,0.9998885874704402,0.00011141252955987335,Up,Up
2003-06-16,0.9999002698605324,9.97301394675687e-05,Up,Up
2003-06-17,0.9997936764795425,0.00020632352045740765,Up,Up
2003-06-18,0.9997651412205244,0.00023485877947554412,Up,Up
2003-06-19,0.9997337054228446,0.0002662945771553793,Up,Up
2003-06-20,0.9996813572585798,0.00031864274142023863,Up,Up
2003-06-23,0.9997512102405075,0.00024878975949255144,Up,Up
2003-06-24,0.9997770541143702,0.00022294588562982165,Up,Up
2003-06-25,0.9996322810339613,0.00036771896603865484,Up,Up
2003-06-26,0.9995570739259911,0.00044292607400880923,Up,Up
2003-06-27,0.999478383075437,0.0005216169245629843,Up,Up
2003-06-30,0.9993896662382462,0.0006103337617537896,Up,Up
2003-07-01,0.9998341689679195,0.00016583103208039907,Up,Up
2003-07-02,0.9998229394994917,0.00017706050050830813,Up,Up
2003-07-03,0.9997716649291751,0.00022833507082486992,Up,Up
2003-07-04,0.9998037040652761,0.00019629593472392237,Up,Up
2003-07-07,0.9997915424409753,0.00020845755902471064,Up,Up
2003-07-08,0.9997629152406742,0.00023708475932582296,Up,Up
2003-07-09,0.999790374589425,0.000209625410575065,Up,Up
2003-07-10,0.9996615144912655,0.00033848550873444294,Up,Up
2003-07-11,0.9996631405310117,0.0003368594689882598,Up,Up
2003-07-14,0.9995892084230056,0.00041079157699441815,Up,Up
2003-07-15,0.9996795798479496,0.00032042015205036023,Up,Up
2003-07-16,0.999630932204665,0.00036906779533490974,Up,Up
2003-07-17,0.9997563891249113,0.00024361087508878443,Up,Up
2003-07-18,0.999816109505564,0.00018389049443606753,Up,Up
2003-07-21,0.999896331598439,0.00010366840156100787,Up,Up
2003-07-22,0.999927834133894,7.216586610597764e-05,Up,Up
2003-07-23,0.9999079546892076,9.204531079237688e-05,Up,Up
2003-07-24,0.9998474714093974,0.00015252859060260748,Up,Up
2003-07-25,0.99973253369751,0.000267466302489916,Up,Up
2003-07-28,0.9996946828565034,0.00030531714349663064,Up,Up
2003-07-29,0.999659408987577,0.0003405910124230638,Up,Up
2003-07-30,0.9995978349797325,0.00040216502026751977,Up,Up
2003-07-31,0.9995902905464182,0.0004097094535818191,Up,Up
2003-08-01,0.9995014634324301,0.0004985365675699294,Up,Up
2003-08-04,0.9991100918568452,0.0008899081431548717,Up,Up
2003-08-05,0.9994234627313001,0.0005765372686999393,Up,Up
2003-08-06,0.99958678816858,0.0004132118314199018,Up,Up
2003-08-07,0.9992920852708639,0.0007079147291361165,Up,Up
2003-08-08,0.9988419591540014,0.0011580408459985758,Up,Up
2003-08-11,0.9986152049148814,0.001384795085118573,Up,Up
2003-08-12,0.9985730676898295,0.0014269323101705478,Up,Up
2003-08-13,0.9982156542162257,0.0017843457837743437,Up,Up
2003-08-14,0.9982005853609249,0.0017994146390750698,Up,Up
2003-08-18,0.9968822902360098,0.003117709763990173,Up,Up
2003-08-19,0.99731875350608,0.0026812464939199865,Up,Up
2003-08-20,0.9968198010770557,0.0031801989229442995,Up,Up
2003-08-21,0.9960558104124497,0.0039441895875503286,Up,Up
