Date,Prob_Up,Prob_Down,Prediction,Actual
2002-12-27,0.9998922151064644,0.00010778489353552301,Up,Up
2002-12-30,0.9999156050847552,8.439491524481202e-05,Up,Up
2002-12-31,0.999913617497878,8.638250212195109e-05,Up,Up
2003-01-01,0.9998944047314806,0.00010559526851938728,Up,Up
2003-01-02,0.9999195933467319,8.040665326813912e-05,Up,Up
2003-01-03,0.9999288730607069,7.11269392931202e-05,Up,Up
2003-01-06,0.9999422622773917,5.773772260830867e-05,Up,Up
2003-01-07,0.9999491806333455,5.0819366654519804e-05,Up,Up
2003-01-08,0.9999351232880278,6.48767119721394e-05,Up,Up
2003-01-09,0.999915585602092,8.441439790801697e-05,Up,Up
2003-01-10,0.9999545643683738,4.543563162612285e-05,Up,Up
2003-01-13,0.9999653273713712,3.4672628628773516e-05,Up,Up
2003-01-14,0.9999593367676944,4.0663232305504504e-05,Up,Up
2003-01-15,0.999949763102896,5.0236897104039e-05,Up,Up
2003-01-16,0.9999456917627179,5.430823728214129e-05,Up,Up
2003-01-17,0.9999496637812291,5.0336218770929975e-05,Up,Up
2003-01-20,0.99996671734935,3.328265065000169e-05,Up,Up
2003-01-21,0.9999663406900925,3.365930990756327e-05,Up,Up
2003-01-22,0.9999600121652377,3.998783476227841e-05,Up,Up
2003-01-23,0.9999752869738153,2.471302618467508e-05,Up,Up
2003-01-24,0.9999865499302651,1.3450069734910475e-05,Up,Up
2003-01-27,0.9999938636936423,6.136306357651389e-06,Up,Up
2003-01-28,0.9999914485963584,8.55140364169893e-06,Up,Up
2003-01-29,0.9999942500162997,5.749983700287231e-06,Up,Up
2003-01-30,0.9999951318455336,4.868154466375341e-06,Up,Up
2003-01-31,0.9999936470276858,6.352972314216387e-06,Up,Up
2003-02-03,0.9999893811246798,1.0618875320222987e-05,Up,Up
2003-02-04,0.9999896259934472,1.0374006552793524e-05,Up,Up
2003-02-05,0.999992564800419,7.435199581018459e-06,Up,Up
2003-02-06,0.9999863274524942,1.3672547505838573e-05,Up,Up
2003-02-07,0.9999895895582946,1.0410441705355211e-05,Up,Up
2003-02-10,0.9999930880031652,6.911996834779721e-06,Up,Up
2003-02-11,0.9999935729520422,6.427047957890952e-06,Up,Up
2003-02-12,0.9999945752147019,5.424785298080437e-06,Up,Up
2003-02-14,0.9999965187406431,3.481259356896693e-06,Up,Up
2003-02-17,0.9999914302922689,8.569707731109766e-06,Up,Up
